,Open,High,Low,Close,Volume,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,EBITDA,EBIT,Net Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Net Income Including Noncontrolling Interests,Net Income Common Stockholders,Net Income Continuous Operations,Total Revenue,Operating Revenue,Gross Profit,Operating Income,Total Expenses,Operating Expense,Reconciled Cost Of Revenue,Cost Of Revenue,Diluted EPS,Basic EPS,Interest Expense,Interest Income,Tax Provision,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Inventory,Accounts Receivable,Cash And Cash Equivalents,Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Cash Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Change In Working Capital,Stock Based Compensation,Depreciation And Amortization,Deferred Tax,Net Income From Continuing Operations,marketCap,beta,trailingPE,forwardPE,dividendYield,priceToBook,priceToSalesTrailing12Months,revenueGrowth,earningsGrowth,52WeekChange,SandP52WeekChange,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,ebitdaMargins,currentRatio,debtToEquity,sharesOutstanding,sharesShort,shortRatio,priceHint,currentPrice,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalDebt,quickRatio,totalRevenue,revenuePerShare,freeCashflow,operatingCashflow,trailingPegRatio
2019-03-23,116.84773725449595,116.8549913415132,112.50740103071007,113.80660247802734,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442544128.0,0.768,16.84505,0.0,0.007900001,1.6897415,1.8930992,0.121,0.175,0.65009236,0.39389753,0.059109997,0.10339,0.59625,0.17232999,0.15484,1.928,2.455,1883880.0,18592.0,2.02,2.0,234.82,0.0,0.0,0.0,111166000.0,6427000.0,1.757,233767008.0,123.817,47337000.0,24721000.0,0.0
2019-03-24,116.84773725449595,116.8549913415132,112.50740103071007,113.80660247802734,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442544128.0,0.768,16.84505,0.0,0.007900001,1.6897415,1.8930992,0.121,0.175,0.65009236,0.39389753,0.059109997,0.10339,0.59625,0.17232999,0.15484,1.928,2.455,1883880.0,18592.0,2.02,2.0,234.82,0.0,0.0,0.0,111166000.0,6427000.0,1.757,233767008.0,123.817,47337000.0,24721000.0,0.0
2019-03-25,116.84773725449595,116.8549913415132,112.50740103071007,113.80660247802734,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442544128.0,0.768,16.84505,0.0,0.007900001,1.6897415,1.8930992,0.121,0.175,0.65009236,0.39389753,0.059109997,0.10339,0.59625,0.17232999,0.15484,1.928,2.455,1883880.0,18592.0,2.02,2.0,234.82,0.0,0.0,0.0,111166000.0,6427000.0,1.757,233767008.0,123.817,47337000.0,24721000.0,0.0
2019-03-26,113.22593487616753,114.67754942586198,112.30415653612832,114.13319396972656,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442544128.0,0.768,16.84505,0.0,0.007900001,1.6897415,1.8930992,0.121,0.175,0.65009236,0.39389753,0.059109997,0.10339,0.59625,0.17232999,0.15484,1.928,2.455,1883880.0,18592.0,2.02,2.0,234.82,0.0,0.0,0.0,111166000.0,6427000.0,1.757,233767008.0,123.817,47337000.0,24721000.0,0.0
2019-03-27,113.90822053822772,113.90822053822772,112.34772790914464,113.22595977783203,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442544128.0,0.768,16.84505,0.0,0.007900001,1.6897415,1.8930992,0.121,0.175,0.65009236,0.39389753,0.059109997,0.10339,0.59625,0.17232999,0.15484,1.928,2.455,1883880.0,18592.0,2.02,2.0,234.82,0.0,0.0,0.0,111166000.0,6427000.0,1.757,233767008.0,123.817,47337000.0,24721000.0,0.0
2019-03-28,111.88317676180998,114.32188942540047,111.88317676180998,113.51624298095703,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442544128.0,0.768,16.84505,0.0,0.007900001,1.6897415,1.8930992,0.121,0.175,0.65009236,0.39389753,0.059109997,0.10339,0.59625,0.17232999,0.15484,1.928,2.455,1883880.0,18592.0,2.02,2.0,234.82,0.0,0.0,0.0,111166000.0,6427000.0,1.757,233767008.0,123.817,47337000.0,24721000.0,0.0
2019-03-29,115.61385997695866,116.56467700766102,112.65257542579124,114.60498809814453,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442544128.0,0.768,16.84505,0.0,0.007900001,1.6897415,1.8930992,0.121,0.175,0.65009236,0.39389753,0.059109997,0.10339,0.59625,0.17232999,0.15484,1.928,2.455,1883880.0,18592.0,2.02,2.0,234.82,0.0,0.0,0.0,111166000.0,6427000.0,1.757,233767008.0,123.817,47337000.0,24721000.0,0.0
2019-03-30,115.61385997695866,116.56467700766102,112.65257542579124,114.60498809814453,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442544128.0,0.768,16.84505,0.0,0.007900001,1.6897415,1.8930992,0.121,0.175,0.65009236,0.39389753,0.059109997,0.10339,0.59625,0.17232999,0.15484,1.928,2.455,1883880.0,18592.0,2.02,2.0,234.82,0.0,0.0,0.0,111166000.0,6427000.0,1.757,233767008.0,123.817,47337000.0,24721000.0,0.0
2019-03-31,115.61385997695866,116.56467700766102,112.65257542579124,114.60498809814453,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442544128.0,0.768,16.84505,0.0,0.007900001,1.6897415,1.8930992,0.121,0.175,0.65009236,0.39389753,0.059109997,0.10339,0.59625,0.17232999,0.15484,1.928,2.455,1883880.0,18592.0,2.02,2.0,234.82,0.0,0.0,0.0,111166000.0,6427000.0,1.757,233767008.0,123.817,47337000.0,24721000.0,0.0
2019-04-01,114.89530760073254,117.97272372714498,114.89530760073254,116.56466674804688,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442544128.0,0.768,16.84505,0.0,0.007900001,1.6897415,1.8930992,0.121,0.175,0.65009236,0.39389753,0.059109997,0.10339,0.59625,0.17232999,0.15484,1.928,2.455,1883880.0,18592.0,2.02,2.0,234.82,0.0,0.0,0.0,111166000.0,6427000.0,1.757,233767008.0,123.817,47337000.0,24721000.0,0.0
