,Open,High,Low,Close,Volume,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,EBITDA,EBIT,Net Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Net Income Including Noncontrolling Interests,Net Income Common Stockholders,Net Income Continuous Operations,Total Revenue,Operating Revenue,Gross Profit,Operating Income,Total Expenses,Operating Expense,Reconciled Cost Of Revenue,Cost Of Revenue,Diluted EPS,Basic EPS,Interest Expense,Interest Income,Tax Provision,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Inventory,Accounts Receivable,Cash And Cash Equivalents,Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Cash Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Change In Working Capital,Stock Based Compensation,Depreciation And Amortization,Deferred Tax,Net Income From Continuing Operations,marketCap,beta,trailingPE,forwardPE,dividendYield,priceToBook,priceToSalesTrailing12Months,revenueGrowth,earningsGrowth,52WeekChange,SandP52WeekChange,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,ebitdaMargins,currentRatio,debtToEquity,sharesOutstanding,sharesShort,shortRatio,priceHint,currentPrice,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalDebt,quickRatio,totalRevenue,revenuePerShare,freeCashflow,operatingCashflow,trailingPegRatio
2016-01-01,50.4690081170376,50.55581701627912,49.72716307748507,50.20857238769531,25393200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595833389056.0,1.102,11.673355,12.495227,0.024400001,1.8816658,3.7009435,0.317,0.288,0.41440392,0.32295227,0.01349,0.16545,0.0,0.50594,0.0,0.0,0.0,2845159936.0,27749266.0,3.32,2.0,209.42,214.91,2.2,22.0,1457527980032.0,918753968128.0,0.0,160995000320.0,55.323,0.0,-10339000320.0,4.0479
2016-01-02,50.4690081170376,50.55581701627912,49.72716307748507,50.20857238769531,25393200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595833389056.0,1.102,11.673355,12.495227,0.024400001,1.8816658,3.7009435,0.317,0.288,0.41440392,0.32295227,0.01349,0.16545,0.0,0.50594,0.0,0.0,0.0,2845159936.0,27749266.0,3.32,2.0,209.42,214.91,2.2,22.0,1457527980032.0,918753968128.0,0.0,160995000320.0,55.323,0.0,-10339000320.0,4.0479
2016-01-03,50.4690081170376,50.55581701627912,49.72716307748507,50.20857238769531,25393200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595833389056.0,1.102,11.673355,12.495227,0.024400001,1.8816658,3.7009435,0.317,0.288,0.41440392,0.32295227,0.01349,0.16545,0.0,0.50594,0.0,0.0,0.0,2845159936.0,27749266.0,3.32,2.0,209.42,214.91,2.2,22.0,1457527980032.0,918753968128.0,0.0,160995000320.0,55.323,0.0,-10339000320.0,4.0479
2016-01-04,50.4690081170376,50.55581701627912,49.72716307748507,50.20857238769531,25393200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595833389056.0,1.102,11.673355,12.495227,0.024400001,1.8816658,3.7009435,0.317,0.288,0.41440392,0.32295227,0.01349,0.16545,0.0,0.50594,0.0,0.0,0.0,2845159936.0,27749266.0,3.32,2.0,209.42,214.91,2.2,22.0,1457527980032.0,918753968128.0,0.0,160995000320.0,55.323,0.0,-10339000320.0,4.0479
2016-01-05,50.271716198916515,50.611067239371174,49.75084768050147,50.29539108276367,16566700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595833389056.0,1.102,11.673355,12.495227,0.024400001,1.8816658,3.7009435,0.317,0.288,0.41440392,0.32295227,0.01349,0.16545,0.0,0.50594,0.0,0.0,0.0,2845159936.0,27749266.0,3.32,2.0,209.42,214.91,2.2,22.0,1457527980032.0,918753968128.0,0.0,160995000320.0,55.323,0.0,-10339000320.0,4.0479
2016-01-06,49.49830446228386,49.82187424674993,49.19840956114422,49.569332122802734,22961500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595833389056.0,1.102,11.673355,12.495227,0.024400001,1.8816658,3.7009435,0.317,0.288,0.41440392,0.32295227,0.01349,0.16545,0.0,0.50594,0.0,0.0,0.0,2845159936.0,27749266.0,3.32,2.0,209.42,214.91,2.2,22.0,1457527980032.0,918753968128.0,0.0,160995000320.0,55.323,0.0,-10339000320.0,4.0479
2016-01-07,48.503914339157305,48.93008027700259,47.41482762316078,47.56477355957031,27630900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595833389056.0,1.102,11.673355,12.495227,0.024400001,1.8816658,3.7009435,0.317,0.288,0.41440392,0.32295227,0.01349,0.16545,0.0,0.50594,0.0,0.0,0.0,2845159936.0,27749266.0,3.32,2.0,209.42,214.91,2.2,22.0,1457527980032.0,918753968128.0,0.0,160995000320.0,55.323,0.0,-10339000320.0,4.0479
2016-01-08,48.243482037891404,48.35396883523816,46.444115732186,46.499359130859375,22373300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595833389056.0,1.102,11.673355,12.495227,0.024400001,1.8816658,3.7009435,0.317,0.288,0.41440392,0.32295227,0.01349,0.16545,0.0,0.50594,0.0,0.0,0.0,2845159936.0,27749266.0,3.32,2.0,209.42,214.91,2.2,22.0,1457527980032.0,918753968128.0,0.0,160995000320.0,55.323,0.0,-10339000320.0,4.0479
2016-01-09,48.243482037891404,48.35396883523816,46.444115732186,46.499359130859375,22373300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595833389056.0,1.102,11.673355,12.495227,0.024400001,1.8816658,3.7009435,0.317,0.288,0.41440392,0.32295227,0.01349,0.16545,0.0,0.50594,0.0,0.0,0.0,2845159936.0,27749266.0,3.32,2.0,209.42,214.91,2.2,22.0,1457527980032.0,918753968128.0,0.0,160995000320.0,55.323,0.0,-10339000320.0,4.0479
2016-01-10,48.243482037891404,48.35396883523816,46.444115732186,46.499359130859375,22373300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595833389056.0,1.102,11.673355,12.495227,0.024400001,1.8816658,3.7009435,0.317,0.288,0.41440392,0.32295227,0.01349,0.16545,0.0,0.50594,0.0,0.0,0.0,2845159936.0,27749266.0,3.32,2.0,209.42,214.91,2.2,22.0,1457527980032.0,918753968128.0,0.0,160995000320.0,55.323,0.0,-10339000320.0,4.0479
