,Open,High,Low,Close,Volume,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,EBITDA,EBIT,Net Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Net Income Including Noncontrolling Interests,Net Income Common Stockholders,Net Income Continuous Operations,Total Revenue,Operating Revenue,Gross Profit,Operating Income,Total Expenses,Operating Expense,Reconciled Cost Of Revenue,Cost Of Revenue,Diluted EPS,Basic EPS,Interest Expense,Interest Income,Tax Provision,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Inventory,Accounts Receivable,Cash And Cash Equivalents,Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Cash Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Change In Working Capital,Stock Based Compensation,Depreciation And Amortization,Deferred Tax,Net Income From Continuing Operations,marketCap,beta,trailingPE,forwardPE,dividendYield,priceToBook,priceToSalesTrailing12Months,revenueGrowth,earningsGrowth,52WeekChange,SandP52WeekChange,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,ebitdaMargins,currentRatio,debtToEquity,sharesOutstanding,sharesShort,shortRatio,priceHint,currentPrice,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalDebt,quickRatio,totalRevenue,revenuePerShare,freeCashflow,operatingCashflow,trailingPegRatio
2016-01-01,48.00992926487974,48.43416976928711,47.18796223397675,48.43416976928711,53778000.0,180160797.164637,0.138266,83831000000.0,85134000000.0,73448000000.0,61271000000.0,60148160797.164635,61271000000.0,61271000000.0,61271000000.0,61271000000.0,168088000000.0,168088000000.0,115856000000.0,69916000000.0,98172000000.0,45940000000.0,52232000000.0,52232000000.0,8.05,8.12,2346000000.0,2131000000.0,9831000000.0,0.0,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,57055000000.0,83111000000.0,191791000000.0,103134000000.0,50074000000.0,88657000000.0,333779000000.0,149373000000.0,70803000000.0,-51351000000.0,122154000000.0,184406000000.0,2636000000.0,38043000000.0,14224000000.0,6952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110808846336.0,0.896,35.497116,27.497437,0.008,11.588286,12.690859,0.152,0.097,0.27281058,0.32295227,0.14802,0.37133,0.69764,0.43143,0.52804,1.275,36.447,7433039872.0,67500308.0,3.82,2.0,418.511,496.38,1.7,47.0,75531001856.0,97851998208.0,1.141,245122007040.0,32.986,56705249280.0,118547996672.0,2.2513
2016-01-02,48.00992926487974,48.43416976928711,47.18796223397675,48.43416976928711,53778000.0,180160797.164637,0.138266,83831000000.0,85134000000.0,73448000000.0,61271000000.0,60148160797.164635,61271000000.0,61271000000.0,61271000000.0,61271000000.0,168088000000.0,168088000000.0,115856000000.0,69916000000.0,98172000000.0,45940000000.0,52232000000.0,52232000000.0,8.05,8.12,2346000000.0,2131000000.0,9831000000.0,0.0,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,57055000000.0,83111000000.0,191791000000.0,103134000000.0,50074000000.0,88657000000.0,333779000000.0,149373000000.0,70803000000.0,-51351000000.0,122154000000.0,184406000000.0,2636000000.0,38043000000.0,14224000000.0,6952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110808846336.0,0.896,35.497116,27.497437,0.008,11.588286,12.690859,0.152,0.097,0.27281058,0.32295227,0.14802,0.37133,0.69764,0.43143,0.52804,1.275,36.447,7433039872.0,67500308.0,3.82,2.0,418.511,496.38,1.7,47.0,75531001856.0,97851998208.0,1.141,245122007040.0,32.986,56705249280.0,118547996672.0,2.2513
2016-01-03,48.00992926487974,48.43416976928711,47.18796223397675,48.43416976928711,53778000.0,180160797.164637,0.138266,83831000000.0,85134000000.0,73448000000.0,61271000000.0,60148160797.164635,61271000000.0,61271000000.0,61271000000.0,61271000000.0,168088000000.0,168088000000.0,115856000000.0,69916000000.0,98172000000.0,45940000000.0,52232000000.0,52232000000.0,8.05,8.12,2346000000.0,2131000000.0,9831000000.0,0.0,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,57055000000.0,83111000000.0,191791000000.0,103134000000.0,50074000000.0,88657000000.0,333779000000.0,149373000000.0,70803000000.0,-51351000000.0,122154000000.0,184406000000.0,2636000000.0,38043000000.0,14224000000.0,6952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110808846336.0,0.896,35.497116,27.497437,0.008,11.588286,12.690859,0.152,0.097,0.27281058,0.32295227,0.14802,0.37133,0.69764,0.43143,0.52804,1.275,36.447,7433039872.0,67500308.0,3.82,2.0,418.511,496.38,1.7,47.0,75531001856.0,97851998208.0,1.141,245122007040.0,32.986,56705249280.0,118547996672.0,2.2513
2016-01-04,48.00992926487974,48.43416976928711,47.18796223397675,48.43416976928711,53778000.0,180160797.164637,0.138266,83831000000.0,85134000000.0,73448000000.0,61271000000.0,60148160797.164635,61271000000.0,61271000000.0,61271000000.0,61271000000.0,168088000000.0,168088000000.0,115856000000.0,69916000000.0,98172000000.0,45940000000.0,52232000000.0,52232000000.0,8.05,8.12,2346000000.0,2131000000.0,9831000000.0,0.0,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,57055000000.0,83111000000.0,191791000000.0,103134000000.0,50074000000.0,88657000000.0,333779000000.0,149373000000.0,70803000000.0,-51351000000.0,122154000000.0,184406000000.0,2636000000.0,38043000000.0,14224000000.0,6952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110808846336.0,0.896,35.497116,27.497437,0.008,11.588286,12.690859,0.152,0.097,0.27281058,0.32295227,0.14802,0.37133,0.69764,0.43143,0.52804,1.275,36.447,7433039872.0,67500308.0,3.82,2.0,418.511,496.38,1.7,47.0,75531001856.0,97851998208.0,1.141,245122007040.0,32.986,56705249280.0,118547996672.0,2.2513
2016-01-05,48.54908061515034,48.95564410524474,48.20438533565446,48.6551399230957,34079700.0,180160797.164637,0.138266,83831000000.0,85134000000.0,73448000000.0,61271000000.0,60148160797.164635,61271000000.0,61271000000.0,61271000000.0,61271000000.0,168088000000.0,168088000000.0,115856000000.0,69916000000.0,98172000000.0,45940000000.0,52232000000.0,52232000000.0,8.05,8.12,2346000000.0,2131000000.0,9831000000.0,0.0,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,57055000000.0,83111000000.0,191791000000.0,103134000000.0,50074000000.0,88657000000.0,333779000000.0,149373000000.0,70803000000.0,-51351000000.0,122154000000.0,184406000000.0,2636000000.0,38043000000.0,14224000000.0,6952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110808846336.0,0.896,35.497116,27.497437,0.008,11.588286,12.690859,0.152,0.097,0.27281058,0.32295227,0.14802,0.37133,0.69764,0.43143,0.52804,1.275,36.447,7433039872.0,67500308.0,3.82,2.0,418.511,496.38,1.7,47.0,75531001856.0,97851998208.0,1.141,245122007040.0,32.986,56705249280.0,118547996672.0,2.2513
2016-01-06,48.00992572373537,48.08063415503649,47.408917543930144,47.77128982543945,39518900.0,180160797.164637,0.138266,83831000000.0,85134000000.0,73448000000.0,61271000000.0,60148160797.164635,61271000000.0,61271000000.0,61271000000.0,61271000000.0,168088000000.0,168088000000.0,115856000000.0,69916000000.0,98172000000.0,45940000000.0,52232000000.0,52232000000.0,8.05,8.12,2346000000.0,2131000000.0,9831000000.0,0.0,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,57055000000.0,83111000000.0,191791000000.0,103134000000.0,50074000000.0,88657000000.0,333779000000.0,149373000000.0,70803000000.0,-51351000000.0,122154000000.0,184406000000.0,2636000000.0,38043000000.0,14224000000.0,6952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110808846336.0,0.896,35.497116,27.497437,0.008,11.588286,12.690859,0.152,0.097,0.27281058,0.32295227,0.14802,0.37133,0.69764,0.43143,0.52804,1.275,36.447,7433039872.0,67500308.0,3.82,2.0,418.511,496.38,1.7,47.0,75531001856.0,97851998208.0,1.141,245122007040.0,32.986,56705249280.0,118547996672.0,2.2513
2016-01-07,46.57813053225734,47.27636137156147,46.021313235078686,46.10969543457031,56564900.0,180160797.164637,0.138266,83831000000.0,85134000000.0,73448000000.0,61271000000.0,60148160797.164635,61271000000.0,61271000000.0,61271000000.0,61271000000.0,168088000000.0,168088000000.0,115856000000.0,69916000000.0,98172000000.0,45940000000.0,52232000000.0,52232000000.0,8.05,8.12,2346000000.0,2131000000.0,9831000000.0,0.0,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,57055000000.0,83111000000.0,191791000000.0,103134000000.0,50074000000.0,88657000000.0,333779000000.0,149373000000.0,70803000000.0,-51351000000.0,122154000000.0,184406000000.0,2636000000.0,38043000000.0,14224000000.0,6952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110808846336.0,0.896,35.497116,27.497437,0.008,11.588286,12.690859,0.152,0.097,0.27281058,0.32295227,0.14802,0.37133,0.69764,0.43143,0.52804,1.275,36.447,7433039872.0,67500308.0,3.82,2.0,418.511,496.38,1.7,47.0,75531001856.0,97851998208.0,1.141,245122007040.0,32.986,56705249280.0,118547996672.0,2.2513
2016-01-08,46.28645711441309,47.090747161585846,46.09201562680457,46.25110626220703,48754000.0,180160797.164637,0.138266,83831000000.0,85134000000.0,73448000000.0,61271000000.0,60148160797.164635,61271000000.0,61271000000.0,61271000000.0,61271000000.0,168088000000.0,168088000000.0,115856000000.0,69916000000.0,98172000000.0,45940000000.0,52232000000.0,52232000000.0,8.05,8.12,2346000000.0,2131000000.0,9831000000.0,0.0,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,57055000000.0,83111000000.0,191791000000.0,103134000000.0,50074000000.0,88657000000.0,333779000000.0,149373000000.0,70803000000.0,-51351000000.0,122154000000.0,184406000000.0,2636000000.0,38043000000.0,14224000000.0,6952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110808846336.0,0.896,35.497116,27.497437,0.008,11.588286,12.690859,0.152,0.097,0.27281058,0.32295227,0.14802,0.37133,0.69764,0.43143,0.52804,1.275,36.447,7433039872.0,67500308.0,3.82,2.0,418.511,496.38,1.7,47.0,75531001856.0,97851998208.0,1.141,245122007040.0,32.986,56705249280.0,118547996672.0,2.2513
2016-01-09,46.28645711441309,47.090747161585846,46.09201562680457,46.25110626220703,48754000.0,180160797.164637,0.138266,83831000000.0,85134000000.0,73448000000.0,61271000000.0,60148160797.164635,61271000000.0,61271000000.0,61271000000.0,61271000000.0,168088000000.0,168088000000.0,115856000000.0,69916000000.0,98172000000.0,45940000000.0,52232000000.0,52232000000.0,8.05,8.12,2346000000.0,2131000000.0,9831000000.0,0.0,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,57055000000.0,83111000000.0,191791000000.0,103134000000.0,50074000000.0,88657000000.0,333779000000.0,149373000000.0,70803000000.0,-51351000000.0,122154000000.0,184406000000.0,2636000000.0,38043000000.0,14224000000.0,6952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110808846336.0,0.896,35.497116,27.497437,0.008,11.588286,12.690859,0.152,0.097,0.27281058,0.32295227,0.14802,0.37133,0.69764,0.43143,0.52804,1.275,36.447,7433039872.0,67500308.0,3.82,2.0,418.511,496.38,1.7,47.0,75531001856.0,97851998208.0,1.141,245122007040.0,32.986,56705249280.0,118547996672.0,2.2513
2016-01-10,46.28645711441309,47.090747161585846,46.09201562680457,46.25110626220703,48754000.0,180160797.164637,0.138266,83831000000.0,85134000000.0,73448000000.0,61271000000.0,60148160797.164635,61271000000.0,61271000000.0,61271000000.0,61271000000.0,168088000000.0,168088000000.0,115856000000.0,69916000000.0,98172000000.0,45940000000.0,52232000000.0,52232000000.0,8.05,8.12,2346000000.0,2131000000.0,9831000000.0,0.0,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,57055000000.0,83111000000.0,191791000000.0,103134000000.0,50074000000.0,88657000000.0,333779000000.0,149373000000.0,70803000000.0,-51351000000.0,122154000000.0,184406000000.0,2636000000.0,38043000000.0,14224000000.0,6952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110808846336.0,0.896,35.497116,27.497437,0.008,11.588286,12.690859,0.152,0.097,0.27281058,0.32295227,0.14802,0.37133,0.69764,0.43143,0.52804,1.275,36.447,7433039872.0,67500308.0,3.82,2.0,418.511,496.38,1.7,47.0,75531001856.0,97851998208.0,1.141,245122007040.0,32.986,56705249280.0,118547996672.0,2.2513
