,Open,High,Low,Close,Volume,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,EBITDA,EBIT,Net Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Net Income Including Noncontrolling Interests,Net Income Common Stockholders,Net Income Continuous Operations,Total Revenue,Operating Revenue,Gross Profit,Operating Income,Total Expenses,Operating Expense,Reconciled Cost Of Revenue,Cost Of Revenue,Diluted EPS,Basic EPS,Interest Expense,Interest Income,Tax Provision,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Inventory,Accounts Receivable,Cash And Cash Equivalents,Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Cash Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Change In Working Capital,Stock Based Compensation,Depreciation And Amortization,Deferred Tax,Net Income From Continuing Operations,marketCap,beta,trailingPE,forwardPE,dividendYield,priceToBook,priceToSalesTrailing12Months,revenueGrowth,earningsGrowth,52WeekChange,SandP52WeekChange,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,ebitdaMargins,currentRatio,debtToEquity,sharesOutstanding,sharesShort,shortRatio,priceHint,currentPrice,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalDebt,quickRatio,totalRevenue,revenuePerShare,freeCashflow,operatingCashflow,trailingPegRatio
2020-01-31,42.9814518911564,43.97307066665081,42.657575281556525,43.7911376953125,451153000.0,0.0,0.017,5691000000.0,5691000000.0,4593000000.0,4332000000.0,4332000000.0,4332000000.0,4332000000.0,4332000000.0,4332000000.0,16675000000.0,16675000000.0,10396000000.0,4532000000.0,12143000000.0,5864000000.0,6279000000.0,6279000000.0,0.1725,0.1755,184000000.0,57000000.0,77000000.0,13700576960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3273283338240.0,1.669,62.647884,32.866997,0.00029999999,56.351353,33.98801,1.224,1.68,2.2027767,0.3464489,0.55258,1.23767,0.75975996,0.62057,0.6353,4.269,17.221,24529999872.0,255835181.0,0.93,2.0,133.44,149.19,1.8,50.0,34800001024.0,10014999552.0,3.503,96307003392.0,3.91,33725874176.0,48663998464.0,1.0754
2021-01-31,42.9814518911564,43.97307066665081,42.657575281556525,43.7911376953125,451153000.0,0.0,0.017,5691000000.0,5691000000.0,4593000000.0,4332000000.0,4332000000.0,4332000000.0,4332000000.0,4332000000.0,4332000000.0,16675000000.0,16675000000.0,10396000000.0,4532000000.0,12143000000.0,5864000000.0,6279000000.0,6279000000.0,0.1725,0.1755,184000000.0,57000000.0,77000000.0,13800000000.0,24800000000.0,38600000000.0,6116000000.0,7597000000.0,9963000000.0,23856000000.0,12130000000.0,9963000000.0,16893000000.0,22857000000.0,16893000000.0,16893000000.0,18908000000.0,3000000.0,11898000000.0,7973000000.0,5964000000.0,3925000000.0,28791000000.0,12736000000.0,2856000000.0,-1408000000.0,4264000000.0,16055000000.0,1826000000.0,2429000000.0,847000000.0,0.0,4694000000.0,0.0,0.0,4968000000.0,-1128000000.0,-395000000.0,5822000000.0,-19675000000.0,3804000000.0,-703000000.0,1397000000.0,1098000000.0,-282000000.0,4332000000.0,3273283338240.0,1.669,62.647884,32.866997,0.00029999999,56.351353,33.98801,1.224,1.68,2.2027767,0.3464489,0.55258,1.23767,0.75975996,0.62057,0.6353,4.269,17.221,24529999872.0,255835181.0,0.93,2.0,133.44,149.19,1.8,50.0,34800001024.0,10014999552.0,3.503,96307003392.0,3.91,33725874176.0,48663998464.0,1.0754
2022-01-31,42.9814518911564,43.97307066665081,42.657575281556525,43.7911376953125,451153000.0,0.0,0.019,11351000000.0,11351000000.0,10177000000.0,9752000000.0,9752000000.0,9752000000.0,9752000000.0,9752000000.0,9752000000.0,26914000000.0,26914000000.0,17475000000.0,10041000000.0,16873000000.0,7434000000.0,9439000000.0,9439000000.0,0.385,0.391,236000000.0,29000000.0,189000000.0,0.0,25060000000.0,25060000000.0,8956000000.0,11831000000.0,19924000000.0,37558000000.0,24494000000.0,19924000000.0,26612000000.0,37558000000.0,26612000000.0,26612000000.0,16235000000.0,3000000.0,17575000000.0,13240000000.0,10946000000.0,4335000000.0,44187000000.0,15358000000.0,3607000000.0,-1903000000.0,5510000000.0,28829000000.0,2605000000.0,4650000000.0,1990000000.0,0.0,8132000000.0,0.0,-1000000000.0,4977000000.0,-976000000.0,-399000000.0,9108000000.0,-9830000000.0,1865000000.0,-3363000000.0,2004000000.0,1174000000.0,-406000000.0,9752000000.0,3273283338240.0,1.669,62.647884,32.866997,0.00029999999,56.351353,33.98801,1.224,1.68,2.2027767,0.3464489,0.55258,1.23767,0.75975996,0.62057,0.6353,4.269,17.221,24529999872.0,255835181.0,0.93,2.0,133.44,149.19,1.8,50.0,34800001024.0,10014999552.0,3.503,96307003392.0,3.91,33725874176.0,48663998464.0,1.0754
2023-01-31,42.9814518911564,43.97307066665081,42.657575281556525,43.7911376953125,451153000.0,-284130000.0,0.21,7340000000.0,5987000000.0,4443000000.0,4368000000.0,5436870000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,26974000000.0,26974000000.0,15356000000.0,5577000000.0,21397000000.0,9779000000.0,11618000000.0,11618000000.0,0.174,0.176,262000000.0,267000000.0,-187000000.0,0.0,24661365720.0,24661365720.0,7564000000.0,12031000000.0,16053000000.0,33054000000.0,16510000000.0,16053000000.0,22101000000.0,31804000000.0,22101000000.0,22101000000.0,10171000000.0,2000000.0,19081000000.0,12518000000.0,9703000000.0,6563000000.0,41182000000.0,18109000000.0,4845000000.0,-2694000000.0,7539000000.0,23073000000.0,5159000000.0,3827000000.0,3389000000.0,0.0,3808000000.0,-10039000000.0,0.0,0.0,-1833000000.0,-398000000.0,5641000000.0,7375000000.0,-11617000000.0,-2207000000.0,2709000000.0,1544000000.0,-2164000000.0,4368000000.0,3273283338240.0,1.669,62.647884,32.866997,0.00029999999,56.351353,33.98801,1.224,1.68,2.2027767,0.3464489,0.55258,1.23767,0.75975996,0.62057,0.6353,4.269,17.221,24529999872.0,255835181.0,0.93,2.0,133.44,149.19,1.8,50.0,34800001024.0,10014999552.0,3.503,96307003392.0,3.91,33725874176.0,48663998464.0,1.0754
2023-06-19,42.9814518911564,43.97307066665081,42.657575281556525,43.7911376953125,451153000.0,-284130000.0,0.21,7340000000.0,5987000000.0,4443000000.0,4368000000.0,5436870000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,26974000000.0,26974000000.0,15356000000.0,5577000000.0,21397000000.0,9779000000.0,11618000000.0,11618000000.0,0.174,0.176,262000000.0,267000000.0,-187000000.0,0.0,24661365720.0,24661365720.0,7564000000.0,12031000000.0,16053000000.0,33054000000.0,16510000000.0,16053000000.0,22101000000.0,31804000000.0,22101000000.0,22101000000.0,10171000000.0,2000000.0,19081000000.0,12518000000.0,9703000000.0,6563000000.0,41182000000.0,18109000000.0,4845000000.0,-2694000000.0,7539000000.0,23073000000.0,5159000000.0,3827000000.0,3389000000.0,0.0,3808000000.0,-10039000000.0,0.0,0.0,-1833000000.0,-398000000.0,5641000000.0,7375000000.0,-11617000000.0,-2207000000.0,2709000000.0,1544000000.0,-2164000000.0,4368000000.0,3273283338240.0,1.669,62.647884,32.866997,0.00029999999,56.351353,33.98801,1.224,1.68,2.2027767,0.3464489,0.55258,1.23767,0.75975996,0.62057,0.6353,4.269,17.221,24529999872.0,255835181.0,0.93,2.0,133.44,149.19,1.8,50.0,34800001024.0,10014999552.0,3.503,96307003392.0,3.91,33725874176.0,48663998464.0,1.0754
2023-06-20,42.9814518911564,43.97307066665081,42.657575281556525,43.7911376953125,451153000.0,-284130000.0,0.21,7340000000.0,5987000000.0,4443000000.0,4368000000.0,5436870000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,26974000000.0,26974000000.0,15356000000.0,5577000000.0,21397000000.0,9779000000.0,11618000000.0,11618000000.0,0.174,0.176,262000000.0,267000000.0,-187000000.0,0.0,24661365720.0,24661365720.0,7564000000.0,12031000000.0,16053000000.0,33054000000.0,16510000000.0,16053000000.0,22101000000.0,31804000000.0,22101000000.0,22101000000.0,10171000000.0,2000000.0,19081000000.0,12518000000.0,9703000000.0,6563000000.0,41182000000.0,18109000000.0,4845000000.0,-2694000000.0,7539000000.0,23073000000.0,5159000000.0,3827000000.0,3389000000.0,0.0,3808000000.0,-10039000000.0,0.0,0.0,-1833000000.0,-398000000.0,5641000000.0,7375000000.0,-11617000000.0,-2207000000.0,2709000000.0,1544000000.0,-2164000000.0,4368000000.0,3273283338240.0,1.669,62.647884,32.866997,0.00029999999,56.351353,33.98801,1.224,1.68,2.2027767,0.3464489,0.55258,1.23767,0.75975996,0.62057,0.6353,4.269,17.221,24529999872.0,255835181.0,0.93,2.0,133.44,149.19,1.8,50.0,34800001024.0,10014999552.0,3.503,96307003392.0,3.91,33725874176.0,48663998464.0,1.0754
2023-06-21,43.48426056903866,43.59821892955853,42.06380973939787,43.02843475341797,551603000.0,-284130000.0,0.21,7340000000.0,5987000000.0,4443000000.0,4368000000.0,5436870000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,26974000000.0,26974000000.0,15356000000.0,5577000000.0,21397000000.0,9779000000.0,11618000000.0,11618000000.0,0.174,0.176,262000000.0,267000000.0,-187000000.0,0.0,24661365720.0,24661365720.0,7564000000.0,12031000000.0,16053000000.0,33054000000.0,16510000000.0,16053000000.0,22101000000.0,31804000000.0,22101000000.0,22101000000.0,10171000000.0,2000000.0,19081000000.0,12518000000.0,9703000000.0,6563000000.0,41182000000.0,18109000000.0,4845000000.0,-2694000000.0,7539000000.0,23073000000.0,5159000000.0,3827000000.0,3389000000.0,0.0,3808000000.0,-10039000000.0,0.0,0.0,-1833000000.0,-398000000.0,5641000000.0,7375000000.0,-11617000000.0,-2207000000.0,2709000000.0,1544000000.0,-2164000000.0,4368000000.0,3273283338240.0,1.669,62.647884,32.866997,0.00029999999,56.351353,33.98801,1.224,1.68,2.2027767,0.3464489,0.55258,1.23767,0.75975996,0.62057,0.6353,4.269,17.221,24529999872.0,255835181.0,0.93,2.0,133.44,149.19,1.8,50.0,34800001024.0,10014999552.0,3.503,96307003392.0,3.91,33725874176.0,48663998464.0,1.0754
2023-06-22,42.23673962853241,43.40928860008858,42.21774974616571,43.008445739746094,417737000.0,-284130000.0,0.21,7340000000.0,5987000000.0,4443000000.0,4368000000.0,5436870000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,26974000000.0,26974000000.0,15356000000.0,5577000000.0,21397000000.0,9779000000.0,11618000000.0,11618000000.0,0.174,0.176,262000000.0,267000000.0,-187000000.0,0.0,24661365720.0,24661365720.0,7564000000.0,12031000000.0,16053000000.0,33054000000.0,16510000000.0,16053000000.0,22101000000.0,31804000000.0,22101000000.0,22101000000.0,10171000000.0,2000000.0,19081000000.0,12518000000.0,9703000000.0,6563000000.0,41182000000.0,18109000000.0,4845000000.0,-2694000000.0,7539000000.0,23073000000.0,5159000000.0,3827000000.0,3389000000.0,0.0,3808000000.0,-10039000000.0,0.0,0.0,-1833000000.0,-398000000.0,5641000000.0,7375000000.0,-11617000000.0,-2207000000.0,2709000000.0,1544000000.0,-2164000000.0,4368000000.0,3273283338240.0,1.669,62.647884,32.866997,0.00029999999,56.351353,33.98801,1.224,1.68,2.2027767,0.3464489,0.55258,1.23767,0.75975996,0.62057,0.6353,4.269,17.221,24529999872.0,255835181.0,0.93,2.0,133.44,149.19,1.8,50.0,34800001024.0,10014999552.0,3.503,96307003392.0,3.91,33725874176.0,48663998464.0,1.0754
2023-06-23,42.44765959074922,42.79252423392382,41.99883106438803,42.19275665283203,358140000.0,-284130000.0,0.21,7340000000.0,5987000000.0,4443000000.0,4368000000.0,5436870000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,26974000000.0,26974000000.0,15356000000.0,5577000000.0,21397000000.0,9779000000.0,11618000000.0,11618000000.0,0.174,0.176,262000000.0,267000000.0,-187000000.0,0.0,24661365720.0,24661365720.0,7564000000.0,12031000000.0,16053000000.0,33054000000.0,16510000000.0,16053000000.0,22101000000.0,31804000000.0,22101000000.0,22101000000.0,10171000000.0,2000000.0,19081000000.0,12518000000.0,9703000000.0,6563000000.0,41182000000.0,18109000000.0,4845000000.0,-2694000000.0,7539000000.0,23073000000.0,5159000000.0,3827000000.0,3389000000.0,0.0,3808000000.0,-10039000000.0,0.0,0.0,-1833000000.0,-398000000.0,5641000000.0,7375000000.0,-11617000000.0,-2207000000.0,2709000000.0,1544000000.0,-2164000000.0,4368000000.0,3273283338240.0,1.669,62.647884,32.866997,0.00029999999,56.351353,33.98801,1.224,1.68,2.2027767,0.3464489,0.55258,1.23767,0.75975996,0.62057,0.6353,4.269,17.221,24529999872.0,255835181.0,0.93,2.0,133.44,149.19,1.8,50.0,34800001024.0,10014999552.0,3.503,96307003392.0,3.91,33725874176.0,48663998464.0,1.0754
2023-06-24,42.44765959074922,42.79252423392382,41.99883106438803,42.19275665283203,358140000.0,-284130000.0,0.21,7340000000.0,5987000000.0,4443000000.0,4368000000.0,5436870000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,26974000000.0,26974000000.0,15356000000.0,5577000000.0,21397000000.0,9779000000.0,11618000000.0,11618000000.0,0.174,0.176,262000000.0,267000000.0,-187000000.0,0.0,24661365720.0,24661365720.0,7564000000.0,12031000000.0,16053000000.0,33054000000.0,16510000000.0,16053000000.0,22101000000.0,31804000000.0,22101000000.0,22101000000.0,10171000000.0,2000000.0,19081000000.0,12518000000.0,9703000000.0,6563000000.0,41182000000.0,18109000000.0,4845000000.0,-2694000000.0,7539000000.0,23073000000.0,5159000000.0,3827000000.0,3389000000.0,0.0,3808000000.0,-10039000000.0,0.0,0.0,-1833000000.0,-398000000.0,5641000000.0,7375000000.0,-11617000000.0,-2207000000.0,2709000000.0,1544000000.0,-2164000000.0,4368000000.0,3273283338240.0,1.669,62.647884,32.866997,0.00029999999,56.351353,33.98801,1.224,1.68,2.2027767,0.3464489,0.55258,1.23767,0.75975996,0.62057,0.6353,4.269,17.221,24529999872.0,255835181.0,0.93,2.0,133.44,149.19,1.8,50.0,34800001024.0,10014999552.0,3.503,96307003392.0,3.91,33725874176.0,48663998464.0,1.0754
