,Open,High,Low,Close,Volume,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,EBITDA,EBIT,Net Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Net Income Including Noncontrolling Interests,Net Income Common Stockholders,Net Income Continuous Operations,Total Revenue,Operating Revenue,Gross Profit,Operating Income,Total Expenses,Operating Expense,Reconciled Cost Of Revenue,Cost Of Revenue,Diluted EPS,Basic EPS,Interest Expense,Interest Income,Tax Provision,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Inventory,Accounts Receivable,Cash And Cash Equivalents,Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Cash Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Change In Working Capital,Stock Based Compensation,Depreciation And Amortization,Deferred Tax,Net Income From Continuing Operations,marketCap,beta,trailingPE,forwardPE,dividendYield,priceToBook,priceToSalesTrailing12Months,revenueGrowth,earningsGrowth,52WeekChange,SandP52WeekChange,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,ebitdaMargins,currentRatio,debtToEquity,sharesOutstanding,sharesShort,shortRatio,priceHint,currentPrice,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalDebt,quickRatio,totalRevenue,revenuePerShare,freeCashflow,operatingCashflow,trailingPegRatio
2016-01-01,31.464108980698974,31.464108980698974,30.896166748677416,31.2369327545166,18784400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469583560704.0,1.008,43.562954,23.700686,0.0095999995,43.41786,8.725886,0.069,0.198,0.51746094,0.32295227,0.072909996,1.55578,0.71310997,0.30517998,0.40515,0.72,749.978,2771059968.0,18776290.0,2.09,2.0,169.4599,177.89,2.2,27.0,10910999552.0,84514996224.0,0.591,53815001088.0,19.553,10339500032.0,19125999616.0,2.0205
2016-01-02,31.464108980698974,31.464108980698974,30.896166748677416,31.2369327545166,18784400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469583560704.0,1.008,43.562954,23.700686,0.0095999995,43.41786,8.725886,0.069,0.198,0.51746094,0.32295227,0.072909996,1.55578,0.71310997,0.30517998,0.40515,0.72,749.978,2771059968.0,18776290.0,2.09,2.0,169.4599,177.89,2.2,27.0,10910999552.0,84514996224.0,0.591,53815001088.0,19.553,10339500032.0,19125999616.0,2.0205
2016-01-03,31.464108980698974,31.464108980698974,30.896166748677416,31.2369327545166,18784400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469583560704.0,1.008,43.562954,23.700686,0.0095999995,43.41786,8.725886,0.069,0.198,0.51746094,0.32295227,0.072909996,1.55578,0.71310997,0.30517998,0.40515,0.72,749.978,2771059968.0,18776290.0,2.09,2.0,169.4599,177.89,2.2,27.0,10910999552.0,84514996224.0,0.591,53815001088.0,19.553,10339500032.0,19125999616.0,2.0205
2016-01-04,31.464108980698974,31.464108980698974,30.896166748677416,31.2369327545166,18784400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469583560704.0,1.008,43.562954,23.700686,0.0095999995,43.41786,8.725886,0.069,0.198,0.51746094,0.32295227,0.072909996,1.55578,0.71310997,0.30517998,0.40515,0.72,749.978,2771059968.0,18776290.0,2.09,2.0,169.4599,177.89,2.2,27.0,10910999552.0,84514996224.0,0.591,53815001088.0,19.553,10339500032.0,19125999616.0,2.0205
2016-01-05,31.33304790062469,31.56022413386575,31.009757491851555,31.140819549560547,25340700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469583560704.0,1.008,43.562954,23.700686,0.0095999995,43.41786,8.725886,0.069,0.198,0.51746094,0.32295227,0.072909996,1.55578,0.71310997,0.30517998,0.40515,0.72,749.978,2771059968.0,18776290.0,2.09,2.0,169.4599,177.89,2.2,27.0,10910999552.0,84514996224.0,0.591,53815001088.0,19.553,10339500032.0,19125999616.0,2.0205
2016-01-06,31.01849643631447,31.577702599330063,30.896170504796267,31.298099517822266,18165700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469583560704.0,1.008,43.562954,23.700686,0.0095999995,43.41786,8.725886,0.069,0.198,0.51746094,0.32295227,0.072909996,1.55578,0.71310997,0.30517998,0.40515,0.72,749.978,2771059968.0,18776290.0,2.09,2.0,169.4599,177.89,2.2,27.0,10910999552.0,84514996224.0,0.591,53815001088.0,19.553,10339500032.0,19125999616.0,2.0205
2016-01-07,30.80004499742312,31.17576212503503,30.47675467824442,30.61655616760254,22591400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469583560704.0,1.008,43.562954,23.700686,0.0095999995,43.41786,8.725886,0.069,0.198,0.51746094,0.32295227,0.072909996,1.55578,0.71310997,0.30517998,0.40515,0.72,749.978,2771059968.0,18776290.0,2.09,2.0,169.4599,177.89,2.2,27.0,10910999552.0,84514996224.0,0.591,53815001088.0,19.553,10339500032.0,19125999616.0,2.0205
2016-01-08,30.695209185463113,30.82627126864193,30.24085329755284,30.27580451965332,21962200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469583560704.0,1.008,43.562954,23.700686,0.0095999995,43.41786,8.725886,0.069,0.198,0.51746094,0.32295227,0.072909996,1.55578,0.71310997,0.30517998,0.40515,0.72,749.978,2771059968.0,18776290.0,2.09,2.0,169.4599,177.89,2.2,27.0,10910999552.0,84514996224.0,0.591,53815001088.0,19.553,10339500032.0,19125999616.0,2.0205
2016-01-09,30.695209185463113,30.82627126864193,30.24085329755284,30.27580451965332,21962200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469583560704.0,1.008,43.562954,23.700686,0.0095999995,43.41786,8.725886,0.069,0.198,0.51746094,0.32295227,0.072909996,1.55578,0.71310997,0.30517998,0.40515,0.72,749.978,2771059968.0,18776290.0,2.09,2.0,169.4599,177.89,2.2,27.0,10910999552.0,84514996224.0,0.591,53815001088.0,19.553,10339500032.0,19125999616.0,2.0205
2016-01-10,30.695209185463113,30.82627126864193,30.24085329755284,30.27580451965332,21962200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469583560704.0,1.008,43.562954,23.700686,0.0095999995,43.41786,8.725886,0.069,0.198,0.51746094,0.32295227,0.072909996,1.55578,0.71310997,0.30517998,0.40515,0.72,749.978,2771059968.0,18776290.0,2.09,2.0,169.4599,177.89,2.2,27.0,10910999552.0,84514996224.0,0.591,53815001088.0,19.553,10339500032.0,19125999616.0,2.0205
