,Open,High,Low,Close,Volume,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,EBITDA,EBIT,Net Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Net Income Including Noncontrolling Interests,Net Income Common Stockholders,Net Income Continuous Operations,Total Revenue,Operating Revenue,Gross Profit,Operating Income,Total Expenses,Operating Expense,Reconciled Cost Of Revenue,Cost Of Revenue,Diluted EPS,Basic EPS,Interest Expense,Interest Income,Tax Provision,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Inventory,Accounts Receivable,Cash And Cash Equivalents,Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Cash Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Change In Working Capital,Stock Based Compensation,Depreciation And Amortization,Deferred Tax,Net Income From Continuing Operations,marketCap,beta,trailingPE,forwardPE,dividendYield,priceToBook,priceToSalesTrailing12Months,revenueGrowth,earningsGrowth,52WeekChange,SandP52WeekChange,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,ebitdaMargins,currentRatio,debtToEquity,sharesOutstanding,sharesShort,shortRatio,priceHint,currentPrice,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalDebt,quickRatio,totalRevenue,revenuePerShare,freeCashflow,operatingCashflow,trailingPegRatio
2016-01-01,76.47045121086744,76.81183905646084,75.88078882962627,76.63338470458984,6689000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230485065728.0,0.539,24.354137,19.287357,0.0322,11.862849,2.5038028,0.008,0.121,0.05140686,0.32295227,0.08917,0.51261,0.54645,0.18515,0.18295999,0.825,229.454,1373570048.0,18003463.0,3.74,2.0,167.8,182.98,2.5,21.0,6668000256.0,44927000576.0,0.597,92054003712.0,66.973,6784249856.0,12737999872.0,1.9213
2016-01-02,76.47045121086744,76.81183905646084,75.88078882962627,76.63338470458984,6689000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230485065728.0,0.539,24.354137,19.287357,0.0322,11.862849,2.5038028,0.008,0.121,0.05140686,0.32295227,0.08917,0.51261,0.54645,0.18515,0.18295999,0.825,229.454,1373570048.0,18003463.0,3.74,2.0,167.8,182.98,2.5,21.0,6668000256.0,44927000576.0,0.597,92054003712.0,66.973,6784249856.0,12737999872.0,1.9213
2016-01-03,76.47045121086744,76.81183905646084,75.88078882962627,76.63338470458984,6689000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230485065728.0,0.539,24.354137,19.287357,0.0322,11.862849,2.5038028,0.008,0.121,0.05140686,0.32295227,0.08917,0.51261,0.54645,0.18515,0.18295999,0.825,229.454,1373570048.0,18003463.0,3.74,2.0,167.8,182.98,2.5,21.0,6668000256.0,44927000576.0,0.597,92054003712.0,66.973,6784249856.0,12737999872.0,1.9213
2016-01-04,76.47045121086744,76.81183905646084,75.88078882962627,76.63338470458984,6689000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230485065728.0,0.539,24.354137,19.287357,0.0322,11.862849,2.5038028,0.008,0.121,0.05140686,0.32295227,0.08917,0.51261,0.54645,0.18515,0.18295999,0.825,229.454,1373570048.0,18003463.0,3.74,2.0,167.8,182.98,2.5,21.0,6668000256.0,44927000576.0,0.597,92054003712.0,66.973,6784249856.0,12737999872.0,1.9213
2016-01-05,76.66444206289621,77.4713552488471,76.58685550875134,77.16100311279297,4893800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230485065728.0,0.539,24.354137,19.287357,0.0322,11.862849,2.5038028,0.008,0.121,0.05140686,0.32295227,0.08917,0.51261,0.54645,0.18515,0.18295999,0.825,229.454,1373570048.0,18003463.0,3.74,2.0,167.8,182.98,2.5,21.0,6668000256.0,44927000576.0,0.597,92054003712.0,66.973,6784249856.0,12737999872.0,1.9213
2016-01-06,76.33078795074664,77.40150215100847,76.129064164167,77.18425750732422,5483400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230485065728.0,0.539,24.354137,19.287357,0.0322,11.862849,2.5038028,0.008,0.121,0.05140686,0.32295227,0.08917,0.51261,0.54645,0.18515,0.18295999,0.825,229.454,1373570048.0,18003463.0,3.74,2.0,167.8,182.98,2.5,21.0,6668000256.0,44927000576.0,0.597,92054003712.0,66.973,6784249856.0,12737999872.0,1.9213
2016-01-07,76.39286941597398,76.79632888023596,75.42302290309678,75.70233917236328,5440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230485065728.0,0.539,24.354137,19.287357,0.0322,11.862849,2.5038028,0.008,0.121,0.05140686,0.32295227,0.08917,0.51261,0.54645,0.18515,0.18295999,0.825,229.454,1373570048.0,18003463.0,3.74,2.0,167.8,182.98,2.5,21.0,6668000256.0,44927000576.0,0.597,92054003712.0,66.973,6784249856.0,12737999872.0,1.9213
2016-01-08,75.90405771023846,76.52475583525592,75.21352756846647,75.42301177978516,4853500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230485065728.0,0.539,24.354137,19.287357,0.0322,11.862849,2.5038028,0.008,0.121,0.05140686,0.32295227,0.08917,0.51261,0.54645,0.18515,0.18295999,0.825,229.454,1373570048.0,18003463.0,3.74,2.0,167.8,182.98,2.5,21.0,6668000256.0,44927000576.0,0.597,92054003712.0,66.973,6784249856.0,12737999872.0,1.9213
2016-01-09,75.90405771023846,76.52475583525592,75.21352756846647,75.42301177978516,4853500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230485065728.0,0.539,24.354137,19.287357,0.0322,11.862849,2.5038028,0.008,0.121,0.05140686,0.32295227,0.08917,0.51261,0.54645,0.18515,0.18295999,0.825,229.454,1373570048.0,18003463.0,3.74,2.0,167.8,182.98,2.5,21.0,6668000256.0,44927000576.0,0.597,92054003712.0,66.973,6784249856.0,12737999872.0,1.9213
2016-01-10,75.90405771023846,76.52475583525592,75.21352756846647,75.42301177978516,4853500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230485065728.0,0.539,24.354137,19.287357,0.0322,11.862849,2.5038028,0.008,0.121,0.05140686,0.32295227,0.08917,0.51261,0.54645,0.18515,0.18295999,0.825,229.454,1373570048.0,18003463.0,3.74,2.0,167.8,182.98,2.5,21.0,6668000256.0,44927000576.0,0.597,92054003712.0,66.973,6784249856.0,12737999872.0,1.9213
