,Open,High,Low,Close,Volume,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,EBITDA,EBIT,Net Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Net Income Including Noncontrolling Interests,Net Income Common Stockholders,Net Income Continuous Operations,Total Revenue,Operating Revenue,Gross Profit,Operating Income,Total Expenses,Operating Expense,Reconciled Cost Of Revenue,Cost Of Revenue,Diluted EPS,Basic EPS,Interest Expense,Interest Income,Tax Provision,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Inventory,Accounts Receivable,Cash And Cash Equivalents,Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Cash Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Change In Working Capital,Stock Based Compensation,Depreciation And Amortization,Deferred Tax,Net Income From Continuing Operations,marketCap,beta,trailingPE,forwardPE,dividendYield,priceToBook,priceToSalesTrailing12Months,revenueGrowth,earningsGrowth,52WeekChange,SandP52WeekChange,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,ebitdaMargins,currentRatio,debtToEquity,sharesOutstanding,sharesShort,shortRatio,priceHint,currentPrice,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalDebt,quickRatio,totalRevenue,revenuePerShare,freeCashflow,operatingCashflow,trailingPegRatio
2019-12-31,102.03901887176133,102.72463032888005,100.9518296521842,101.84313201904297,9295500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135978000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008588750848.0,1.268,34.48227,24.069307,0.0125,1.2637762,0.38040203,0.39,0.541,1.2430525,0.3763833,0.12409,0.28027,0.54453,0.47487998,0.6779,2.567,24.081,5186079744.0,25404420.0,2.06,2.0,194.48,217.81,1.6,15.0,2167600054272.0,968509030400.0,2.238,2651375796224.0,63.906876,606226546688.0,1600801341440.0,1.2516
2020-12-31,102.03901887176133,102.72463032888005,100.9518296521842,101.84313201904297,9295500.0,804033135.053612,0.126103,912176400000.0,918552400000.0,586827800000.0,510744000000.0,505172033135.0536,510744000000.0,511008000000.0,510744000000.0,511008000000.0,1339254800000.0,1339254800000.0,711130100000.0,566784600000.0,772470200000.0,144345500000.0,628124700000.0,628124700000.0,99.85,99.85,2081500000.0,9018400000.0,73738300000.0,0.0,25930380458.0,25930380458.0,0.0,367792300000.0,1809043200000.0,2182043000000.0,460286900000.0,1809043200000.0,1834811300000.0,2090884000000.0,1835763800000.0,1834811300000.0,1573840100000.0,259303800000.0,924836700000.0,292938300000.0,256072700000.0,631898400000.0,2760600500000.0,1668415200000.0,1583317600000.0,-2872061300000.0,4455378900000.0,1092185300000.0,137353400000.0,145480300000.0,660170600000.0,6590000000.0,305885100000.0,0.0,-73487300000.0,246211000000.0,-516781100000.0,-259303800000.0,822666200000.0,-505781700000.0,-88615100000.0,-28336500000.0,6600000.0,331724600000.0,0.0,584746300000.0,1008588750848.0,1.268,34.48227,24.069307,0.0125,1.2637762,0.38040203,0.39,0.541,1.2430525,0.3763833,0.12409,0.28027,0.54453,0.47487998,0.6779,2.567,24.081,5186079744.0,25404420.0,2.06,2.0,194.48,217.81,1.6,15.0,2167600054272.0,968509030400.0,2.238,2651375796224.0,63.906876,606226546688.0,1600801341440.0,1.2516
2021-12-31,102.03901887176133,102.72463032888005,100.9518296521842,101.84313201904297,9295500.0,612244570.460729,0.105809,1085058800000.0,1090845100000.0,668450200000.0,592359200000.0,587185144570.4607,592359200000.0,592880600000.0,592359200000.0,592880600000.0,1587415000000.0,1587415000000.0,819537300000.0,649979600000.0,937435400000.0,169557700000.0,767877700000.0,767877700000.0,115.05,115.05,5414200000.0,5708800000.0,70155400000.0,0.0,25930380458.0,25930380458.0,0.0,753631900000.0,2122438100000.0,2882127500000.0,848720100000.0,2122438100000.0,2149259800000.0,2762639500000.0,2151682500000.0,2149259800000.0,1887802900000.0,259303800000.0,1573619700000.0,815266900000.0,613379700000.0,758352800000.0,3725302200000.0,2118229300000.0,2007853100000.0,-3262031100000.0,5269884200000.0,1607072900000.0,193102300000.0,197586100000.0,1064990200000.0,6182100000.0,262724300000.0,0.0,-4585300000.0,401771200000.0,-849436400000.0,-265786400000.0,1112160700000.0,-836365800000.0,136608500000.0,132466300000.0,7800000.0,422394900000.0,0.0,663036000000.0,1008588750848.0,1.268,34.48227,24.069307,0.0125,1.2637762,0.38040203,0.39,0.541,1.2430525,0.3763833,0.12409,0.28027,0.54453,0.47487998,0.6779,2.567,24.081,5186079744.0,25404420.0,2.06,2.0,194.48,217.81,1.6,15.0,2167600054272.0,968509030400.0,2.238,2651375796224.0,63.906876,606226546688.0,1600801341440.0,1.2516
2022-12-31,102.03901887176133,102.72463032888005,100.9518296521842,101.84313201904297,9295500.0,450946515.219931,0.13179,1589654800000.0,1593076500000.0,1155822200000.0,992923400000.0,989952646515.22,992923400000.0,993294700000.0,992923400000.0,993294700000.0,2263891300000.0,2263891300000.0,1348354800000.0,1121278000000.0,1142613300000.0,227076800000.0,915536500000.0,915536500000.0,196.0,196.0,11750000000.0,22422200000.0,150777500000.0,0.0,25930380458.0,25930380458.0,0.0,888174400000.0,2877020500000.0,3761430000000.0,1066333100000.0,2877020500000.0,2903019700000.0,3742116100000.0,2917832400000.0,2903019700000.0,2594891200000.0,259303800000.0,2046626700000.0,1060063100000.0,839096400000.0,986563600000.0,4964459100000.0,2911562400000.0,2735751000000.0,-3668706200000.0,6404457200000.0,2052896700000.0,221149100000.0,0.0,1342814100000.0,13522700000.0,520972800000.0,-871600000.0,-118955000000.0,200963600000.0,-1089626400000.0,-285234200000.0,1610599200000.0,-1190928300000.0,-200244000000.0,122508500000.0,302400000.0,437254300000.0,0.0,1144072200000.0,1008588750848.0,1.268,34.48227,24.069307,0.0125,1.2637762,0.38040203,0.39,0.541,1.2430525,0.3763833,0.12409,0.28027,0.54453,0.47487998,0.6779,2.567,24.081,5186079744.0,25404420.0,2.06,2.0,194.48,217.81,1.6,15.0,2167600054272.0,968509030400.0,2.238,2651375796224.0,63.906876,606226546688.0,1600801341440.0,1.2516
2023-06-18,102.03901887176133,102.72463032888005,100.9518296521842,101.84313201904297,9295500.0,450946515.219931,0.13179,1589654800000.0,1593076500000.0,1155822200000.0,992923400000.0,989952646515.22,992923400000.0,993294700000.0,992923400000.0,993294700000.0,2263891300000.0,2263891300000.0,1348354800000.0,1121278000000.0,1142613300000.0,227076800000.0,915536500000.0,915536500000.0,196.0,196.0,11750000000.0,22422200000.0,150777500000.0,0.0,25930380458.0,25930380458.0,0.0,888174400000.0,2877020500000.0,3761430000000.0,1066333100000.0,2877020500000.0,2903019700000.0,3742116100000.0,2917832400000.0,2903019700000.0,2594891200000.0,259303800000.0,2046626700000.0,1060063100000.0,839096400000.0,986563600000.0,4964459100000.0,2911562400000.0,2735751000000.0,-3668706200000.0,6404457200000.0,2052896700000.0,221149100000.0,0.0,1342814100000.0,13522700000.0,520972800000.0,-871600000.0,-118955000000.0,200963600000.0,-1089626400000.0,-285234200000.0,1610599200000.0,-1190928300000.0,-200244000000.0,122508500000.0,302400000.0,437254300000.0,0.0,1144072200000.0,1008588750848.0,1.268,34.48227,24.069307,0.0125,1.2637762,0.38040203,0.39,0.541,1.2430525,0.3763833,0.12409,0.28027,0.54453,0.47487998,0.6779,2.567,24.081,5186079744.0,25404420.0,2.06,2.0,194.48,217.81,1.6,15.0,2167600054272.0,968509030400.0,2.238,2651375796224.0,63.906876,606226546688.0,1600801341440.0,1.2516
2023-06-19,102.03901887176133,102.72463032888005,100.9518296521842,101.84313201904297,9295500.0,450946515.219931,0.13179,1589654800000.0,1593076500000.0,1155822200000.0,992923400000.0,989952646515.22,992923400000.0,993294700000.0,992923400000.0,993294700000.0,2263891300000.0,2263891300000.0,1348354800000.0,1121278000000.0,1142613300000.0,227076800000.0,915536500000.0,915536500000.0,196.0,196.0,11750000000.0,22422200000.0,150777500000.0,0.0,25930380458.0,25930380458.0,0.0,888174400000.0,2877020500000.0,3761430000000.0,1066333100000.0,2877020500000.0,2903019700000.0,3742116100000.0,2917832400000.0,2903019700000.0,2594891200000.0,259303800000.0,2046626700000.0,1060063100000.0,839096400000.0,986563600000.0,4964459100000.0,2911562400000.0,2735751000000.0,-3668706200000.0,6404457200000.0,2052896700000.0,221149100000.0,0.0,1342814100000.0,13522700000.0,520972800000.0,-871600000.0,-118955000000.0,200963600000.0,-1089626400000.0,-285234200000.0,1610599200000.0,-1190928300000.0,-200244000000.0,122508500000.0,302400000.0,437254300000.0,0.0,1144072200000.0,1008588750848.0,1.268,34.48227,24.069307,0.0125,1.2637762,0.38040203,0.39,0.541,1.2430525,0.3763833,0.12409,0.28027,0.54453,0.47487998,0.6779,2.567,24.081,5186079744.0,25404420.0,2.06,2.0,194.48,217.81,1.6,15.0,2167600054272.0,968509030400.0,2.238,2651375796224.0,63.906876,606226546688.0,1600801341440.0,1.2516
2023-06-20,102.03901887176133,102.72463032888005,100.9518296521842,101.84313201904297,9295500.0,450946515.219931,0.13179,1589654800000.0,1593076500000.0,1155822200000.0,992923400000.0,989952646515.22,992923400000.0,993294700000.0,992923400000.0,993294700000.0,2263891300000.0,2263891300000.0,1348354800000.0,1121278000000.0,1142613300000.0,227076800000.0,915536500000.0,915536500000.0,196.0,196.0,11750000000.0,22422200000.0,150777500000.0,0.0,25930380458.0,25930380458.0,0.0,888174400000.0,2877020500000.0,3761430000000.0,1066333100000.0,2877020500000.0,2903019700000.0,3742116100000.0,2917832400000.0,2903019700000.0,2594891200000.0,259303800000.0,2046626700000.0,1060063100000.0,839096400000.0,986563600000.0,4964459100000.0,2911562400000.0,2735751000000.0,-3668706200000.0,6404457200000.0,2052896700000.0,221149100000.0,0.0,1342814100000.0,13522700000.0,520972800000.0,-871600000.0,-118955000000.0,200963600000.0,-1089626400000.0,-285234200000.0,1610599200000.0,-1190928300000.0,-200244000000.0,122508500000.0,302400000.0,437254300000.0,0.0,1144072200000.0,1008588750848.0,1.268,34.48227,24.069307,0.0125,1.2637762,0.38040203,0.39,0.541,1.2430525,0.3763833,0.12409,0.28027,0.54453,0.47487998,0.6779,2.567,24.081,5186079744.0,25404420.0,2.06,2.0,194.48,217.81,1.6,15.0,2167600054272.0,968509030400.0,2.238,2651375796224.0,63.906876,606226546688.0,1600801341440.0,1.2516
2023-06-21,101.03019425308158,101.59827662624467,99.53163805732078,99.55122375488281,9340400.0,450946515.219931,0.13179,1589654800000.0,1593076500000.0,1155822200000.0,992923400000.0,989952646515.22,992923400000.0,993294700000.0,992923400000.0,993294700000.0,2263891300000.0,2263891300000.0,1348354800000.0,1121278000000.0,1142613300000.0,227076800000.0,915536500000.0,915536500000.0,196.0,196.0,11750000000.0,22422200000.0,150777500000.0,0.0,25930380458.0,25930380458.0,0.0,888174400000.0,2877020500000.0,3761430000000.0,1066333100000.0,2877020500000.0,2903019700000.0,3742116100000.0,2917832400000.0,2903019700000.0,2594891200000.0,259303800000.0,2046626700000.0,1060063100000.0,839096400000.0,986563600000.0,4964459100000.0,2911562400000.0,2735751000000.0,-3668706200000.0,6404457200000.0,2052896700000.0,221149100000.0,0.0,1342814100000.0,13522700000.0,520972800000.0,-871600000.0,-118955000000.0,200963600000.0,-1089626400000.0,-285234200000.0,1610599200000.0,-1190928300000.0,-200244000000.0,122508500000.0,302400000.0,437254300000.0,0.0,1144072200000.0,1008588750848.0,1.268,34.48227,24.069307,0.0125,1.2637762,0.38040203,0.39,0.541,1.2430525,0.3763833,0.12409,0.28027,0.54453,0.47487998,0.6779,2.567,24.081,5186079744.0,25404420.0,2.06,2.0,194.48,217.81,1.6,15.0,2167600054272.0,968509030400.0,2.238,2651375796224.0,63.906876,606226546688.0,1600801341440.0,1.2516
2023-06-22,99.3357399286668,101.304434989458,99.24759308409337,101.0105972290039,8575900.0,450946515.219931,0.13179,1589654800000.0,1593076500000.0,1155822200000.0,992923400000.0,989952646515.22,992923400000.0,993294700000.0,992923400000.0,993294700000.0,2263891300000.0,2263891300000.0,1348354800000.0,1121278000000.0,1142613300000.0,227076800000.0,915536500000.0,915536500000.0,196.0,196.0,11750000000.0,22422200000.0,150777500000.0,0.0,25930380458.0,25930380458.0,0.0,888174400000.0,2877020500000.0,3761430000000.0,1066333100000.0,2877020500000.0,2903019700000.0,3742116100000.0,2917832400000.0,2903019700000.0,2594891200000.0,259303800000.0,2046626700000.0,1060063100000.0,839096400000.0,986563600000.0,4964459100000.0,2911562400000.0,2735751000000.0,-3668706200000.0,6404457200000.0,2052896700000.0,221149100000.0,0.0,1342814100000.0,13522700000.0,520972800000.0,-871600000.0,-118955000000.0,200963600000.0,-1089626400000.0,-285234200000.0,1610599200000.0,-1190928300000.0,-200244000000.0,122508500000.0,302400000.0,437254300000.0,0.0,1144072200000.0,1008588750848.0,1.268,34.48227,24.069307,0.0125,1.2637762,0.38040203,0.39,0.541,1.2430525,0.3763833,0.12409,0.28027,0.54453,0.47487998,0.6779,2.567,24.081,5186079744.0,25404420.0,2.06,2.0,194.48,217.81,1.6,15.0,2167600054272.0,968509030400.0,2.238,2651375796224.0,63.906876,606226546688.0,1600801341440.0,1.2516
2023-06-23,99.4336741564475,100.08991076438679,98.93416047154662,99.81566619873047,8898900.0,450946515.219931,0.13179,1589654800000.0,1593076500000.0,1155822200000.0,992923400000.0,989952646515.22,992923400000.0,993294700000.0,992923400000.0,993294700000.0,2263891300000.0,2263891300000.0,1348354800000.0,1121278000000.0,1142613300000.0,227076800000.0,915536500000.0,915536500000.0,196.0,196.0,11750000000.0,22422200000.0,150777500000.0,0.0,25930380458.0,25930380458.0,0.0,888174400000.0,2877020500000.0,3761430000000.0,1066333100000.0,2877020500000.0,2903019700000.0,3742116100000.0,2917832400000.0,2903019700000.0,2594891200000.0,259303800000.0,2046626700000.0,1060063100000.0,839096400000.0,986563600000.0,4964459100000.0,2911562400000.0,2735751000000.0,-3668706200000.0,6404457200000.0,2052896700000.0,221149100000.0,0.0,1342814100000.0,13522700000.0,520972800000.0,-871600000.0,-118955000000.0,200963600000.0,-1089626400000.0,-285234200000.0,1610599200000.0,-1190928300000.0,-200244000000.0,122508500000.0,302400000.0,437254300000.0,0.0,1144072200000.0,1008588750848.0,1.268,34.48227,24.069307,0.0125,1.2637762,0.38040203,0.39,0.541,1.2430525,0.3763833,0.12409,0.28027,0.54453,0.47487998,0.6779,2.567,24.081,5186079744.0,25404420.0,2.06,2.0,194.48,217.81,1.6,15.0,2167600054272.0,968509030400.0,2.238,2651375796224.0,63.906876,606226546688.0,1600801341440.0,1.2516
