,Open,High,Low,Close,Volume,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,EBITDA,EBIT,Net Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Net Income Including Noncontrolling Interests,Net Income Common Stockholders,Net Income Continuous Operations,Total Revenue,Operating Revenue,Gross Profit,Operating Income,Total Expenses,Operating Expense,Reconciled Cost Of Revenue,Cost Of Revenue,Diluted EPS,Basic EPS,Interest Expense,Interest Income,Tax Provision,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Inventory,Accounts Receivable,Cash And Cash Equivalents,Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Cash Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Change In Working Capital,Stock Based Compensation,Depreciation And Amortization,Deferred Tax,Net Income From Continuing Operations,marketCap,beta,trailingPE,forwardPE,dividendYield,priceToBook,priceToSalesTrailing12Months,revenueGrowth,earningsGrowth,52WeekChange,SandP52WeekChange,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,ebitdaMargins,currentRatio,debtToEquity,sharesOutstanding,sharesShort,shortRatio,priceHint,currentPrice,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalDebt,quickRatio,totalRevenue,revenuePerShare,freeCashflow,operatingCashflow,trailingPegRatio
2016-01-01,71.55267910599176,71.85371560629054,70.56490645373466,71.2140121459961,13476800.0,45368000.0,0.212,14859000000.0,15073000000.0,14306000000.0,10866000000.0,10697368000.0,10866000000.0,10866000000.0,10866000000.0,10866000000.0,21846000000.0,27078000000.0,17334000000.0,14092000000.0,7754000000.0,3242000000.0,4512000000.0,4512000000.0,4.89,4.9,516000000.0,0.0,2924000000.0,0.0,2120445500.0,2120445500.0,7781000000.0,24070000000.0,-12594000000.0,55194000000.0,13135000000.0,-7508000000.0,31124000000.0,57281000000.0,36210000000.0,36210000000.0,14088000000.0,0.0,44709000000.0,30199000000.0,21071000000.0,14510000000.0,80919000000.0,53274000000.0,2737000000.0,-4424000000.0,7161000000.0,27645000000.0,0.0,1618000000.0,16289000000.0,0.0,9704000000.0,-8114000000.0,0.0,7212000000.0,-736000000.0,-2664000000.0,10440000000.0,1427000000.0,-3968000000.0,-8398000000.0,416000000.0,767000000.0,307000000.0,10866000000.0,537843204096.0,0.961,29.624973,24.968473,0.0075,13.780775,15.403036,0.096,0.202,0.17792714,0.32295227,0.16209,0.48548,0.97803,0.66865,0.69832003,1.373,51.856,1670439936.0,21387993.0,3.31,2.0,276.401,309.76,1.9,36.0,16643999744.0,20601999360.0,0.942,34917998592.0,17.446,14696625152.0,20213000192.0,1.7977
2016-01-02,71.55267910599176,71.85371560629054,70.56490645373466,71.2140121459961,13476800.0,45368000.0,0.212,14859000000.0,15073000000.0,14306000000.0,10866000000.0,10697368000.0,10866000000.0,10866000000.0,10866000000.0,10866000000.0,21846000000.0,27078000000.0,17334000000.0,14092000000.0,7754000000.0,3242000000.0,4512000000.0,4512000000.0,4.89,4.9,516000000.0,0.0,2924000000.0,0.0,2120445500.0,2120445500.0,7781000000.0,24070000000.0,-12594000000.0,55194000000.0,13135000000.0,-7508000000.0,31124000000.0,57281000000.0,36210000000.0,36210000000.0,14088000000.0,0.0,44709000000.0,30199000000.0,21071000000.0,14510000000.0,80919000000.0,53274000000.0,2737000000.0,-4424000000.0,7161000000.0,27645000000.0,0.0,1618000000.0,16289000000.0,0.0,9704000000.0,-8114000000.0,0.0,7212000000.0,-736000000.0,-2664000000.0,10440000000.0,1427000000.0,-3968000000.0,-8398000000.0,416000000.0,767000000.0,307000000.0,10866000000.0,537843204096.0,0.961,29.624973,24.968473,0.0075,13.780775,15.403036,0.096,0.202,0.17792714,0.32295227,0.16209,0.48548,0.97803,0.66865,0.69832003,1.373,51.856,1670439936.0,21387993.0,3.31,2.0,276.401,309.76,1.9,36.0,16643999744.0,20601999360.0,0.942,34917998592.0,17.446,14696625152.0,20213000192.0,1.7977
2016-01-03,71.55267910599176,71.85371560629054,70.56490645373466,71.2140121459961,13476800.0,45368000.0,0.212,14859000000.0,15073000000.0,14306000000.0,10866000000.0,10697368000.0,10866000000.0,10866000000.0,10866000000.0,10866000000.0,21846000000.0,27078000000.0,17334000000.0,14092000000.0,7754000000.0,3242000000.0,4512000000.0,4512000000.0,4.89,4.9,516000000.0,0.0,2924000000.0,0.0,2120445500.0,2120445500.0,7781000000.0,24070000000.0,-12594000000.0,55194000000.0,13135000000.0,-7508000000.0,31124000000.0,57281000000.0,36210000000.0,36210000000.0,14088000000.0,0.0,44709000000.0,30199000000.0,21071000000.0,14510000000.0,80919000000.0,53274000000.0,2737000000.0,-4424000000.0,7161000000.0,27645000000.0,0.0,1618000000.0,16289000000.0,0.0,9704000000.0,-8114000000.0,0.0,7212000000.0,-736000000.0,-2664000000.0,10440000000.0,1427000000.0,-3968000000.0,-8398000000.0,416000000.0,767000000.0,307000000.0,10866000000.0,537843204096.0,0.961,29.624973,24.968473,0.0075,13.780775,15.403036,0.096,0.202,0.17792714,0.32295227,0.16209,0.48548,0.97803,0.66865,0.69832003,1.373,51.856,1670439936.0,21387993.0,3.31,2.0,276.401,309.76,1.9,36.0,16643999744.0,20601999360.0,0.942,34917998592.0,17.446,14696625152.0,20213000192.0,1.7977
2016-01-04,71.55267910599176,71.85371560629054,70.56490645373466,71.2140121459961,13476800.0,45368000.0,0.212,14859000000.0,15073000000.0,14306000000.0,10866000000.0,10697368000.0,10866000000.0,10866000000.0,10866000000.0,10866000000.0,21846000000.0,27078000000.0,17334000000.0,14092000000.0,7754000000.0,3242000000.0,4512000000.0,4512000000.0,4.89,4.9,516000000.0,0.0,2924000000.0,0.0,2120445500.0,2120445500.0,7781000000.0,24070000000.0,-12594000000.0,55194000000.0,13135000000.0,-7508000000.0,31124000000.0,57281000000.0,36210000000.0,36210000000.0,14088000000.0,0.0,44709000000.0,30199000000.0,21071000000.0,14510000000.0,80919000000.0,53274000000.0,2737000000.0,-4424000000.0,7161000000.0,27645000000.0,0.0,1618000000.0,16289000000.0,0.0,9704000000.0,-8114000000.0,0.0,7212000000.0,-736000000.0,-2664000000.0,10440000000.0,1427000000.0,-3968000000.0,-8398000000.0,416000000.0,767000000.0,307000000.0,10866000000.0,537843204096.0,0.961,29.624973,24.968473,0.0075,13.780775,15.403036,0.096,0.202,0.17792714,0.32295227,0.16209,0.48548,0.97803,0.66865,0.69832003,1.373,51.856,1670439936.0,21387993.0,3.31,2.0,276.401,309.76,1.9,36.0,16643999744.0,20601999360.0,0.942,34917998592.0,17.446,14696625152.0,20213000192.0,1.7977
2016-01-05,71.73140198708374,71.97599631825028,71.06347766264086,71.75021362304688,8972700.0,45368000.0,0.212,14859000000.0,15073000000.0,14306000000.0,10866000000.0,10697368000.0,10866000000.0,10866000000.0,10866000000.0,10866000000.0,21846000000.0,27078000000.0,17334000000.0,14092000000.0,7754000000.0,3242000000.0,4512000000.0,4512000000.0,4.89,4.9,516000000.0,0.0,2924000000.0,0.0,2120445500.0,2120445500.0,7781000000.0,24070000000.0,-12594000000.0,55194000000.0,13135000000.0,-7508000000.0,31124000000.0,57281000000.0,36210000000.0,36210000000.0,14088000000.0,0.0,44709000000.0,30199000000.0,21071000000.0,14510000000.0,80919000000.0,53274000000.0,2737000000.0,-4424000000.0,7161000000.0,27645000000.0,0.0,1618000000.0,16289000000.0,0.0,9704000000.0,-8114000000.0,0.0,7212000000.0,-736000000.0,-2664000000.0,10440000000.0,1427000000.0,-3968000000.0,-8398000000.0,416000000.0,767000000.0,307000000.0,10866000000.0,537843204096.0,0.961,29.624973,24.968473,0.0075,13.780775,15.403036,0.096,0.202,0.17792714,0.32295227,0.16209,0.48548,0.97803,0.66865,0.69832003,1.373,51.856,1670439936.0,21387993.0,3.31,2.0,276.401,309.76,1.9,36.0,16643999744.0,20601999360.0,0.942,34917998592.0,17.446,14696625152.0,20213000192.0,1.7977
2016-01-06,70.55548978393922,71.3551172327021,70.41437736891623,70.80948638916016,16092000.0,45368000.0,0.212,14859000000.0,15073000000.0,14306000000.0,10866000000.0,10697368000.0,10866000000.0,10866000000.0,10866000000.0,10866000000.0,21846000000.0,27078000000.0,17334000000.0,14092000000.0,7754000000.0,3242000000.0,4512000000.0,4512000000.0,4.89,4.9,516000000.0,0.0,2924000000.0,0.0,2120445500.0,2120445500.0,7781000000.0,24070000000.0,-12594000000.0,55194000000.0,13135000000.0,-7508000000.0,31124000000.0,57281000000.0,36210000000.0,36210000000.0,14088000000.0,0.0,44709000000.0,30199000000.0,21071000000.0,14510000000.0,80919000000.0,53274000000.0,2737000000.0,-4424000000.0,7161000000.0,27645000000.0,0.0,1618000000.0,16289000000.0,0.0,9704000000.0,-8114000000.0,0.0,7212000000.0,-736000000.0,-2664000000.0,10440000000.0,1427000000.0,-3968000000.0,-8398000000.0,416000000.0,767000000.0,307000000.0,10866000000.0,537843204096.0,0.961,29.624973,24.968473,0.0075,13.780775,15.403036,0.096,0.202,0.17792714,0.32295227,0.16209,0.48548,0.97803,0.66865,0.69832003,1.373,51.856,1670439936.0,21387993.0,3.31,2.0,276.401,309.76,1.9,36.0,16643999744.0,20601999360.0,0.942,34917998592.0,17.446,14696625152.0,20213000192.0,1.7977
2016-01-07,69.38896950618341,70.64014798272343,69.00326274393325,69.41719055175781,12470800.0,45368000.0,0.212,14859000000.0,15073000000.0,14306000000.0,10866000000.0,10697368000.0,10866000000.0,10866000000.0,10866000000.0,10866000000.0,21846000000.0,27078000000.0,17334000000.0,14092000000.0,7754000000.0,3242000000.0,4512000000.0,4512000000.0,4.89,4.9,516000000.0,0.0,2924000000.0,0.0,2120445500.0,2120445500.0,7781000000.0,24070000000.0,-12594000000.0,55194000000.0,13135000000.0,-7508000000.0,31124000000.0,57281000000.0,36210000000.0,36210000000.0,14088000000.0,0.0,44709000000.0,30199000000.0,21071000000.0,14510000000.0,80919000000.0,53274000000.0,2737000000.0,-4424000000.0,7161000000.0,27645000000.0,0.0,1618000000.0,16289000000.0,0.0,9704000000.0,-8114000000.0,0.0,7212000000.0,-736000000.0,-2664000000.0,10440000000.0,1427000000.0,-3968000000.0,-8398000000.0,416000000.0,767000000.0,307000000.0,10866000000.0,537843204096.0,0.961,29.624973,24.968473,0.0075,13.780775,15.403036,0.096,0.202,0.17792714,0.32295227,0.16209,0.48548,0.97803,0.66865,0.69832003,1.373,51.856,1670439936.0,21387993.0,3.31,2.0,276.401,309.76,1.9,36.0,16643999744.0,20601999360.0,0.942,34917998592.0,17.446,14696625152.0,20213000192.0,1.7977
2016-01-08,69.67116915350768,70.09450625966375,68.43880263306244,68.56109619140625,9977600.0,45368000.0,0.212,14859000000.0,15073000000.0,14306000000.0,10866000000.0,10697368000.0,10866000000.0,10866000000.0,10866000000.0,10866000000.0,21846000000.0,27078000000.0,17334000000.0,14092000000.0,7754000000.0,3242000000.0,4512000000.0,4512000000.0,4.89,4.9,516000000.0,0.0,2924000000.0,0.0,2120445500.0,2120445500.0,7781000000.0,24070000000.0,-12594000000.0,55194000000.0,13135000000.0,-7508000000.0,31124000000.0,57281000000.0,36210000000.0,36210000000.0,14088000000.0,0.0,44709000000.0,30199000000.0,21071000000.0,14510000000.0,80919000000.0,53274000000.0,2737000000.0,-4424000000.0,7161000000.0,27645000000.0,0.0,1618000000.0,16289000000.0,0.0,9704000000.0,-8114000000.0,0.0,7212000000.0,-736000000.0,-2664000000.0,10440000000.0,1427000000.0,-3968000000.0,-8398000000.0,416000000.0,767000000.0,307000000.0,10866000000.0,537843204096.0,0.961,29.624973,24.968473,0.0075,13.780775,15.403036,0.096,0.202,0.17792714,0.32295227,0.16209,0.48548,0.97803,0.66865,0.69832003,1.373,51.856,1670439936.0,21387993.0,3.31,2.0,276.401,309.76,1.9,36.0,16643999744.0,20601999360.0,0.942,34917998592.0,17.446,14696625152.0,20213000192.0,1.7977
2016-01-09,69.67116915350768,70.09450625966375,68.43880263306244,68.56109619140625,9977600.0,45368000.0,0.212,14859000000.0,15073000000.0,14306000000.0,10866000000.0,10697368000.0,10866000000.0,10866000000.0,10866000000.0,10866000000.0,21846000000.0,27078000000.0,17334000000.0,14092000000.0,7754000000.0,3242000000.0,4512000000.0,4512000000.0,4.89,4.9,516000000.0,0.0,2924000000.0,0.0,2120445500.0,2120445500.0,7781000000.0,24070000000.0,-12594000000.0,55194000000.0,13135000000.0,-7508000000.0,31124000000.0,57281000000.0,36210000000.0,36210000000.0,14088000000.0,0.0,44709000000.0,30199000000.0,21071000000.0,14510000000.0,80919000000.0,53274000000.0,2737000000.0,-4424000000.0,7161000000.0,27645000000.0,0.0,1618000000.0,16289000000.0,0.0,9704000000.0,-8114000000.0,0.0,7212000000.0,-736000000.0,-2664000000.0,10440000000.0,1427000000.0,-3968000000.0,-8398000000.0,416000000.0,767000000.0,307000000.0,10866000000.0,537843204096.0,0.961,29.624973,24.968473,0.0075,13.780775,15.403036,0.096,0.202,0.17792714,0.32295227,0.16209,0.48548,0.97803,0.66865,0.69832003,1.373,51.856,1670439936.0,21387993.0,3.31,2.0,276.401,309.76,1.9,36.0,16643999744.0,20601999360.0,0.942,34917998592.0,17.446,14696625152.0,20213000192.0,1.7977
2016-01-10,69.67116915350768,70.09450625966375,68.43880263306244,68.56109619140625,9977600.0,45368000.0,0.212,14859000000.0,15073000000.0,14306000000.0,10866000000.0,10697368000.0,10866000000.0,10866000000.0,10866000000.0,10866000000.0,21846000000.0,27078000000.0,17334000000.0,14092000000.0,7754000000.0,3242000000.0,4512000000.0,4512000000.0,4.89,4.9,516000000.0,0.0,2924000000.0,0.0,2120445500.0,2120445500.0,7781000000.0,24070000000.0,-12594000000.0,55194000000.0,13135000000.0,-7508000000.0,31124000000.0,57281000000.0,36210000000.0,36210000000.0,14088000000.0,0.0,44709000000.0,30199000000.0,21071000000.0,14510000000.0,80919000000.0,53274000000.0,2737000000.0,-4424000000.0,7161000000.0,27645000000.0,0.0,1618000000.0,16289000000.0,0.0,9704000000.0,-8114000000.0,0.0,7212000000.0,-736000000.0,-2664000000.0,10440000000.0,1427000000.0,-3968000000.0,-8398000000.0,416000000.0,767000000.0,307000000.0,10866000000.0,537843204096.0,0.961,29.624973,24.968473,0.0075,13.780775,15.403036,0.096,0.202,0.17792714,0.32295227,0.16209,0.48548,0.97803,0.66865,0.69832003,1.373,51.856,1670439936.0,21387993.0,3.31,2.0,276.401,309.76,1.9,36.0,16643999744.0,20601999360.0,0.942,34917998592.0,17.446,14696625152.0,20213000192.0,1.7977
