,Open,High,Low,Close,Volume,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,EBITDA,EBIT,Net Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Net Income Including Noncontrolling Interests,Net Income Common Stockholders,Net Income Continuous Operations,Total Revenue,Operating Revenue,Gross Profit,Operating Income,Total Expenses,Operating Expense,Reconciled Cost Of Revenue,Cost Of Revenue,Diluted EPS,Basic EPS,Interest Expense,Interest Income,Tax Provision,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Inventory,Accounts Receivable,Cash And Cash Equivalents,Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Cash Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Change In Working Capital,Stock Based Compensation,Depreciation And Amortization,Deferred Tax,Net Income From Continuing Operations,marketCap,beta,trailingPE,forwardPE,dividendYield,priceToBook,priceToSalesTrailing12Months,revenueGrowth,earningsGrowth,52WeekChange,SandP52WeekChange,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,ebitdaMargins,currentRatio,debtToEquity,sharesOutstanding,sharesShort,shortRatio,priceHint,currentPrice,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalDebt,quickRatio,totalRevenue,revenuePerShare,freeCashflow,operatingCashflow,trailingPegRatio
2019-12-31,109.44000244140625,112.08000183105469,96.0,108.0,31692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3365907.0,1.393,0.0,-0.0068348623,0.0,0.0,0.17503417,-0.013,0.0,-0.9851058,0.38860226,-0.22647,-1.05568,-0.43219003,-0.25757998,-1.40816,0.839,0.0,31436000.0,651275.0,0.21,4.0,0.1043,720.0,3.0,1.0,1279000.0,10239000.0,0.466,19230000.0,5.468,-11370500.0,-24625000.0,0.0
2020-12-31,109.44000244140625,112.08000183105469,96.0,108.0,31692.0,-633150.0,0.27,-15729000.0,-18074000.0,-19601000.0,-19711000.0,-17999150.0,-19711000.0,-19711000.0,-19711000.0,-19711000.0,28111000.0,28111000.0,1438000.0,-19007000.0,47118000.0,20445000.0,26492000.0,26673000.0,-33.6,-33.6,72000.0,1751000.0,38000.0,0.0,579423.0,579423.0,0.0,786000.0,35899000.0,44649000.0,20998000.0,35899000.0,44110000.0,44110000.0,44110000.0,44110000.0,-145404000.0,1000.0,7584000.0,241000.0,0.0,7343000.0,51694000.0,23353000.0,2730000.0,-2670000.0,5400000.0,28341000.0,2034000.0,2159000.0,1029000.0,0.0,-16143000.0,0.0,-3732000.0,3378000.0,-522000.0,0.0,-15621000.0,16469000.0,-304000.0,-1631000.0,1654000.0,1527000.0,0.0,-19711000.0,3365907.0,1.393,0.0,-0.0068348623,0.0,0.0,0.17503417,-0.013,0.0,-0.9851058,0.38860226,-0.22647,-1.05568,-0.43219003,-0.25757998,-1.40816,0.839,0.0,31436000.0,651275.0,0.21,4.0,0.1043,720.0,3.0,1.0,1279000.0,10239000.0,0.466,19230000.0,5.468,-11370500.0,-24625000.0,0.0
2021-12-31,109.44000244140625,112.08000183105469,96.0,108.0,31692.0,-1200420.0,0.27,-26555000.0,-31001000.0,-32537000.0,-32609000.0,-29363420.0,-32609000.0,-32609000.0,-32609000.0,-32609000.0,30948000.0,30948000.0,1486000.0,-28412000.0,59360000.0,29898000.0,29462000.0,29462000.0,-50.4,-50.4,58000.0,321000.0,14000.0,0.0,678636.0,678636.0,0.0,2336000.0,58155000.0,66670000.0,45958000.0,58155000.0,66074000.0,66074000.0,66074000.0,66074000.0,-178013000.0,2000.0,9880000.0,1453000.0,0.0,8427000.0,75954000.0,21569000.0,7564000.0,-3300000.0,10864000.0,54385000.0,2881000.0,585000.0,1336000.0,0.0,-23910000.0,0.0,-2604000.0,2653000.0,-1071000.0,0.0,-22839000.0,-27729000.0,50875000.0,-733000.0,3983000.0,1536000.0,0.0,-32609000.0,3365907.0,1.393,0.0,-0.0068348623,0.0,0.0,0.17503417,-0.013,0.0,-0.9851058,0.38860226,-0.22647,-1.05568,-0.43219003,-0.25757998,-1.40816,0.839,0.0,31436000.0,651275.0,0.21,4.0,0.1043,720.0,3.0,1.0,1279000.0,10239000.0,0.466,19230000.0,5.468,-11370500.0,-24625000.0,0.0
2022-12-31,109.44000244140625,112.08000183105469,96.0,108.0,31692.0,-517020.0,0.21,-30424000.0,-32886000.0,-36477000.0,-59801000.0,-34608020.0,-59801000.0,-59801000.0,-59801000.0,-36553000.0,40501000.0,40501000.0,1847000.0,-33962000.0,74463000.0,35809000.0,38654000.0,38654000.0,-74.4,-74.4,55000.0,313000.0,21000.0,0.0,896825.0,896825.0,889000.0,1652000.0,88763000.0,96664000.0,31587000.0,88763000.0,95975000.0,95975000.0,95975000.0,95975000.0,-237814000.0,0.0,18676000.0,5658000.0,3001000.0,13018000.0,114651000.0,70046000.0,4635000.0,-3734000.0,8369000.0,44605000.0,7270000.0,1363000.0,2205000.0,0.0,-56143000.0,0.0,-3822000.0,2162000.0,-4429000.0,0.0,-51714000.0,22578000.0,30820000.0,-11570000.0,5489000.0,3591000.0,-434000.0,-59801000.0,3365907.0,1.393,0.0,-0.0068348623,0.0,0.0,0.17503417,-0.013,0.0,-0.9851058,0.38860226,-0.22647,-1.05568,-0.43219003,-0.25757998,-1.40816,0.839,0.0,31436000.0,651275.0,0.21,4.0,0.1043,720.0,3.0,1.0,1279000.0,10239000.0,0.466,19230000.0,5.468,-11370500.0,-24625000.0,0.0
2023-06-17,109.44000244140625,112.08000183105469,96.0,108.0,31692.0,-517020.0,0.21,-30424000.0,-32886000.0,-36477000.0,-59801000.0,-34608020.0,-59801000.0,-59801000.0,-59801000.0,-36553000.0,40501000.0,40501000.0,1847000.0,-33962000.0,74463000.0,35809000.0,38654000.0,38654000.0,-74.4,-74.4,55000.0,313000.0,21000.0,0.0,896825.0,896825.0,889000.0,1652000.0,88763000.0,96664000.0,31587000.0,88763000.0,95975000.0,95975000.0,95975000.0,95975000.0,-237814000.0,0.0,18676000.0,5658000.0,3001000.0,13018000.0,114651000.0,70046000.0,4635000.0,-3734000.0,8369000.0,44605000.0,7270000.0,1363000.0,2205000.0,0.0,-56143000.0,0.0,-3822000.0,2162000.0,-4429000.0,0.0,-51714000.0,22578000.0,30820000.0,-11570000.0,5489000.0,3591000.0,-434000.0,-59801000.0,3365907.0,1.393,0.0,-0.0068348623,0.0,0.0,0.17503417,-0.013,0.0,-0.9851058,0.38860226,-0.22647,-1.05568,-0.43219003,-0.25757998,-1.40816,0.839,0.0,31436000.0,651275.0,0.21,4.0,0.1043,720.0,3.0,1.0,1279000.0,10239000.0,0.466,19230000.0,5.468,-11370500.0,-24625000.0,0.0
2023-06-18,109.44000244140625,112.08000183105469,96.0,108.0,31692.0,-517020.0,0.21,-30424000.0,-32886000.0,-36477000.0,-59801000.0,-34608020.0,-59801000.0,-59801000.0,-59801000.0,-36553000.0,40501000.0,40501000.0,1847000.0,-33962000.0,74463000.0,35809000.0,38654000.0,38654000.0,-74.4,-74.4,55000.0,313000.0,21000.0,0.0,896825.0,896825.0,889000.0,1652000.0,88763000.0,96664000.0,31587000.0,88763000.0,95975000.0,95975000.0,95975000.0,95975000.0,-237814000.0,0.0,18676000.0,5658000.0,3001000.0,13018000.0,114651000.0,70046000.0,4635000.0,-3734000.0,8369000.0,44605000.0,7270000.0,1363000.0,2205000.0,0.0,-56143000.0,0.0,-3822000.0,2162000.0,-4429000.0,0.0,-51714000.0,22578000.0,30820000.0,-11570000.0,5489000.0,3591000.0,-434000.0,-59801000.0,3365907.0,1.393,0.0,-0.0068348623,0.0,0.0,0.17503417,-0.013,0.0,-0.9851058,0.38860226,-0.22647,-1.05568,-0.43219003,-0.25757998,-1.40816,0.839,0.0,31436000.0,651275.0,0.21,4.0,0.1043,720.0,3.0,1.0,1279000.0,10239000.0,0.466,19230000.0,5.468,-11370500.0,-24625000.0,0.0
2023-06-19,109.44000244140625,112.08000183105469,96.0,108.0,31692.0,-517020.0,0.21,-30424000.0,-32886000.0,-36477000.0,-59801000.0,-34608020.0,-59801000.0,-59801000.0,-59801000.0,-36553000.0,40501000.0,40501000.0,1847000.0,-33962000.0,74463000.0,35809000.0,38654000.0,38654000.0,-74.4,-74.4,55000.0,313000.0,21000.0,0.0,896825.0,896825.0,889000.0,1652000.0,88763000.0,96664000.0,31587000.0,88763000.0,95975000.0,95975000.0,95975000.0,95975000.0,-237814000.0,0.0,18676000.0,5658000.0,3001000.0,13018000.0,114651000.0,70046000.0,4635000.0,-3734000.0,8369000.0,44605000.0,7270000.0,1363000.0,2205000.0,0.0,-56143000.0,0.0,-3822000.0,2162000.0,-4429000.0,0.0,-51714000.0,22578000.0,30820000.0,-11570000.0,5489000.0,3591000.0,-434000.0,-59801000.0,3365907.0,1.393,0.0,-0.0068348623,0.0,0.0,0.17503417,-0.013,0.0,-0.9851058,0.38860226,-0.22647,-1.05568,-0.43219003,-0.25757998,-1.40816,0.839,0.0,31436000.0,651275.0,0.21,4.0,0.1043,720.0,3.0,1.0,1279000.0,10239000.0,0.466,19230000.0,5.468,-11370500.0,-24625000.0,0.0
2023-06-20,109.44000244140625,112.08000183105469,96.0,108.0,31692.0,-517020.0,0.21,-30424000.0,-32886000.0,-36477000.0,-59801000.0,-34608020.0,-59801000.0,-59801000.0,-59801000.0,-36553000.0,40501000.0,40501000.0,1847000.0,-33962000.0,74463000.0,35809000.0,38654000.0,38654000.0,-74.4,-74.4,55000.0,313000.0,21000.0,0.0,896825.0,896825.0,889000.0,1652000.0,88763000.0,96664000.0,31587000.0,88763000.0,95975000.0,95975000.0,95975000.0,95975000.0,-237814000.0,0.0,18676000.0,5658000.0,3001000.0,13018000.0,114651000.0,70046000.0,4635000.0,-3734000.0,8369000.0,44605000.0,7270000.0,1363000.0,2205000.0,0.0,-56143000.0,0.0,-3822000.0,2162000.0,-4429000.0,0.0,-51714000.0,22578000.0,30820000.0,-11570000.0,5489000.0,3591000.0,-434000.0,-59801000.0,3365907.0,1.393,0.0,-0.0068348623,0.0,0.0,0.17503417,-0.013,0.0,-0.9851058,0.38860226,-0.22647,-1.05568,-0.43219003,-0.25757998,-1.40816,0.839,0.0,31436000.0,651275.0,0.21,4.0,0.1043,720.0,3.0,1.0,1279000.0,10239000.0,0.466,19230000.0,5.468,-11370500.0,-24625000.0,0.0
2023-06-21,110.4000015258789,111.5999984741211,103.44000244140625,108.72000122070312,35048.0,-517020.0,0.21,-30424000.0,-32886000.0,-36477000.0,-59801000.0,-34608020.0,-59801000.0,-59801000.0,-59801000.0,-36553000.0,40501000.0,40501000.0,1847000.0,-33962000.0,74463000.0,35809000.0,38654000.0,38654000.0,-74.4,-74.4,55000.0,313000.0,21000.0,0.0,896825.0,896825.0,889000.0,1652000.0,88763000.0,96664000.0,31587000.0,88763000.0,95975000.0,95975000.0,95975000.0,95975000.0,-237814000.0,0.0,18676000.0,5658000.0,3001000.0,13018000.0,114651000.0,70046000.0,4635000.0,-3734000.0,8369000.0,44605000.0,7270000.0,1363000.0,2205000.0,0.0,-56143000.0,0.0,-3822000.0,2162000.0,-4429000.0,0.0,-51714000.0,22578000.0,30820000.0,-11570000.0,5489000.0,3591000.0,-434000.0,-59801000.0,3365907.0,1.393,0.0,-0.0068348623,0.0,0.0,0.17503417,-0.013,0.0,-0.9851058,0.38860226,-0.22647,-1.05568,-0.43219003,-0.25757998,-1.40816,0.839,0.0,31436000.0,651275.0,0.21,4.0,0.1043,720.0,3.0,1.0,1279000.0,10239000.0,0.466,19230000.0,5.468,-11370500.0,-24625000.0,0.0
2023-06-22,107.04000091552734,110.4000015258789,99.36000061035156,100.08000183105469,35211.0,-517020.0,0.21,-30424000.0,-32886000.0,-36477000.0,-59801000.0,-34608020.0,-59801000.0,-59801000.0,-59801000.0,-36553000.0,40501000.0,40501000.0,1847000.0,-33962000.0,74463000.0,35809000.0,38654000.0,38654000.0,-74.4,-74.4,55000.0,313000.0,21000.0,0.0,896825.0,896825.0,889000.0,1652000.0,88763000.0,96664000.0,31587000.0,88763000.0,95975000.0,95975000.0,95975000.0,95975000.0,-237814000.0,0.0,18676000.0,5658000.0,3001000.0,13018000.0,114651000.0,70046000.0,4635000.0,-3734000.0,8369000.0,44605000.0,7270000.0,1363000.0,2205000.0,0.0,-56143000.0,0.0,-3822000.0,2162000.0,-4429000.0,0.0,-51714000.0,22578000.0,30820000.0,-11570000.0,5489000.0,3591000.0,-434000.0,-59801000.0,3365907.0,1.393,0.0,-0.0068348623,0.0,0.0,0.17503417,-0.013,0.0,-0.9851058,0.38860226,-0.22647,-1.05568,-0.43219003,-0.25757998,-1.40816,0.839,0.0,31436000.0,651275.0,0.21,4.0,0.1043,720.0,3.0,1.0,1279000.0,10239000.0,0.466,19230000.0,5.468,-11370500.0,-24625000.0,0.0
